matter_id,client_id,consultation_id,matter_type,origin_channel,oppened_at,current_stage,responsible_lawyer_id,total_fee_agreed ,contract_signed,power_of_attorney_signed ,documents_complete,closed_at,outcome
82,970,475,commercial,phone,7/13/22,awaiting response,82,1418.65,TRUE,FALSE,FALSE,10/25/21,client_withdrew
83,393,522,civil,phone,1/21/15,on hold,83,3668.29,FALSE,FALSE,TRUE,10/29/20,client_withdrew
84,477,525,civil,phone,4/5/26,under review,84,3200.94,TRUE,TRUE,TRUE,8/11/30,accepted
85,84,749,immigration,phone,6/16/19,pending approval,85,3308.61,FALSE,TRUE,FALSE,2/6/17,accepted
86,206,333,real estate,phone,6/14/19,completed,86,1326.06,FALSE,TRUE,TRUE,6/7/22,completed
87,197,203,real estate,whatsapp,4/21/22,pending review,87,1437.02,TRUE,FALSE,FALSE,10/18/21,accepted
88,672,104,immigration,email,6/26/29,in process,88,4925.81,TRUE,FALSE,FALSE,11/29/29,lost_case
89,545,674,commercial,phone,10/6/18,pending,89,4344.36,FALSE,FALSE,TRUE,9/3/29,office_declined
90,6,323,immigration,whatsapp,10/26/21,awaiting response,90,542.07,TRUE,FALSE,TRUE,11/18/18,cancelled
91,787,922,labor,email,1/9/28,rejected,91,4038.38,FALSE,TRUE,FALSE,7/6/30,in_progress
92,812,145,consultation only service,email,6/28/23,awaiting response,92,4519.56,TRUE,TRUE,TRUE,5/23/16,resolved
93,161,927,real estate,whatsapp,9/19/17,awaiting response,93,3282.25,TRUE,FALSE,TRUE,9/6/29,settled
94,140,940,criminal,email,8/31/17,reviewing,94,2904.45,TRUE,TRUE,FALSE,10/31/23,office_declined
95,828,143,immigration,phone,12/4/21,pending,95,1045.96,TRUE,FALSE,TRUE,8/7/24,completed
96,280,845,contract review,whatsapp,1/15/20,in progress,96,4151.01,FALSE,TRUE,TRUE,6/6/28,settled
97,715,933,administrative,whatsapp,2/3/30,under review,97,2853.92,TRUE,FALSE,FALSE,7/22/17,cancelled
98,51,246,family,phone,2/4/21,under review,98,275.54,FALSE,TRUE,TRUE,6/29/27,lost_case
99,206,788,consultation only service,phone,9/22/23,awaiting response,99,3767.38,TRUE,TRUE,TRUE,3/29/26,office_declined
100,839,22,immigration,email,9/23/17,reviewing,100,1167.99,TRUE,FALSE,TRUE,5/13/16,lost_case
101,130,798,family,whatsapp,8/17/25,finalized,101,839.99,TRUE,TRUE,FALSE,6/14/27,cancelled
102,927,807,real estate,email,7/27/27,reviewing,102,1443.21,TRUE,TRUE,FALSE,10/1/25,ongoing
103,463,949,civil,whatsapp,3/3/21,finalized,103,4660.34,FALSE,FALSE,TRUE,5/10/29,ongoing
104,765,734,commercial,phone,11/7/25,in process,104,1511.78,TRUE,TRUE,FALSE,4/24/28,client_withdrew
105,607,473,immigration,whatsapp,11/25/28,on hold,105,4401.87,FALSE,TRUE,FALSE,7/20/19,in_progress
106,419,396,criminal,email,4/11/16,under review,106,3969.27,FALSE,FALSE,FALSE,3/7/25,completed
107,642,898,real estate,email,5/25/17,delayed,107,3980.07,TRUE,TRUE,TRUE,4/22/17,ongoing
108,630,372,criminal,whatsapp,10/11/20,reviewing,108,447.06,FALSE,TRUE,FALSE,1/20/19,in_progress
109,444,515,immigration,phone,9/6/25,pending approval,109,329.05,TRUE,TRUE,FALSE,11/8/19,accepted
110,280,468,family,phone,7/28/22,approved,110,910.39,TRUE,TRUE,TRUE,11/30/28,settled
111,832,446,real estate,email,8/25/30,rejected,111,2346.88,FALSE,FALSE,TRUE,8/16/27,cancelled
112,122,310,commercial,phone,3/18/20,finalized,112,1761.47,TRUE,TRUE,FALSE,8/8/21,accepted
113,87,94,consultation only service,whatsapp,1/6/21,pending review,113,2888.12,TRUE,FALSE,FALSE,9/25/26,completed
114,363,254,labor,email,12/10/17,in progress,114,253.36,TRUE,TRUE,TRUE,1/21/17,completed
115,35,864,real estate,phone,2/21/16,rejected,115,4472.75,TRUE,FALSE,TRUE,8/1/17,settled
116,704,375,criminal,whatsapp,10/28/28,in process,116,3371.94,FALSE,FALSE,TRUE,1/7/25,lost_case
117,100,285,real estate,email,11/13/24,pending review,117,2637.93,TRUE,FALSE,FALSE,10/25/24,accepted
118,788,419,commercial,phone,2/7/23,rejected,118,828.68,FALSE,TRUE,TRUE,10/31/15,office_declined
119,798,739,real estate,phone,2/22/21,reviewing,119,1911.73,TRUE,FALSE,FALSE,6/23/20,cancelled
120,717,887,commercial,phone,10/1/26,rejected,120,4474.05,FALSE,TRUE,TRUE,2/16/20,accepted
121,848,911,real estate,whatsapp,2/23/20,finalized,121,4438.08,TRUE,TRUE,FALSE,4/19/15,cancelled
122,394,714,consultation only service,whatsapp,5/29/19,in progress,122,225.4,TRUE,FALSE,TRUE,12/14/24,cancelled
123,239,792,administrative,whatsapp,2/10/15,in process,123,3221.58,FALSE,TRUE,FALSE,3/28/27,office_declined
124,155,792,criminal,phone,2/26/24,approved,124,3649.73,FALSE,FALSE,FALSE,2/3/26,ongoing
125,950,414,administrative,phone,1/27/29,approved,125,3267.98,FALSE,FALSE,FALSE,1/18/28,office_declined
126,345,23,contract review,whatsapp,1/1/15,awaiting response,126,2420.6,FALSE,FALSE,FALSE,6/6/20,lost_case
127,473,371,consultation only service,phone,4/19/19,under investigation,127,2775.52,FALSE,FALSE,TRUE,3/31/23,ongoing
128,791,871,civil,phone,3/24/19,under investigation,128,999.98,FALSE,FALSE,TRUE,1/25/24,cancelled
129,241,348,commercial,email,2/6/28,under review,129,4107.63,TRUE,FALSE,FALSE,4/8/30,accepted
130,992,66,real estate,phone,10/21/19,finalized,130,3238.29,FALSE,TRUE,FALSE,2/8/21,in_progress
131,456,85,civil,whatsapp,11/4/29,on hold,131,2696.75,FALSE,TRUE,FALSE,2/7/26,office_declined
132,299,262,family,email,10/7/21,delayed,132,820.6,FALSE,TRUE,TRUE,4/2/30,ongoing
133,354,993,consultation only service,phone,1/31/19,rejected,133,1026.56,FALSE,FALSE,TRUE,1/9/18,in_progress
134,896,410,criminal,email,1/1/25,reviewing,134,4184.67,FALSE,TRUE,TRUE,10/8/29,lost_case
135,131,321,immigration,whatsapp,10/31/18,pending approval,135,1499.97,FALSE,TRUE,TRUE,4/9/21,completed
136,1000,492,administrative,whatsapp,2/4/21,under review,136,1197.8,FALSE,TRUE,FALSE,10/4/23,cancelled
137,339,614,family,whatsapp,4/19/15,approved,137,2151.59,FALSE,FALSE,TRUE,7/1/24,ongoing
138,576,689,criminal,email,2/23/20,under review,138,3061.8,TRUE,FALSE,FALSE,4/20/16,accepted
139,268,600,labor,email,3/13/20,in process,139,2801.8,TRUE,TRUE,FALSE,10/28/17,office_declined
140,521,175,commercial,whatsapp,7/2/17,in process,140,725.06,FALSE,FALSE,FALSE,10/25/17,completed
141,279,877,civil,phone,10/6/18,pending review,141,1328.41,TRUE,TRUE,FALSE,8/25/23,resolved
142,693,801,administrative,phone,11/9/26,in process,142,311.51,TRUE,TRUE,TRUE,12/18/24,lost_case
143,956,768,contract review,email,8/23/16,in process,143,870.46,TRUE,TRUE,FALSE,11/8/17,lost_case
144,201,907,consultation only service,whatsapp,7/22/19,under investigation,144,2944.38,FALSE,FALSE,FALSE,11/7/17,client_withdrew
145,611,922,real estate,whatsapp,2/29/28,under investigation,145,4891.06,FALSE,FALSE,TRUE,1/21/30,office_declined
146,62,983,consultation only service,whatsapp,4/21/15,finalized,146,4094.75,TRUE,TRUE,TRUE,2/27/19,lost_case
147,558,81,family,phone,7/3/27,approved,147,1434.24,FALSE,TRUE,TRUE,8/1/28,settled
148,632,30,criminal,whatsapp,3/11/30,pending,148,250.42,TRUE,TRUE,FALSE,12/18/17,ongoing
149,346,643,consultation only service,whatsapp,2/23/16,approved,149,3249.95,TRUE,TRUE,TRUE,7/22/25,in_progress
150,800,81,consultation only service,phone,9/17/18,rejected,150,1300.54,FALSE,TRUE,TRUE,11/17/27,resolved
151,821,834,criminal,whatsapp,8/16/27,delayed,151,4223.97,FALSE,TRUE,TRUE,12/14/28,client_withdrew
152,546,387,criminal,email,5/12/17,pending approval,152,2849.68,TRUE,TRUE,TRUE,8/16/17,lost_case
153,840,548,family,phone,3/25/28,completed,153,4518.46,TRUE,FALSE,FALSE,2/2/26,lost_case
154,289,764,civil,email,11/19/26,on hold,154,3911.96,FALSE,TRUE,FALSE,7/8/17,office_declined
155,839,706,commercial,phone,4/1/30,under investigation,155,1067.87,FALSE,FALSE,FALSE,4/28/18,resolved
156,95,309,immigration,email,10/4/22,pending approval,156,3277.78,FALSE,FALSE,TRUE,11/1/20,in_progress
157,789,97,administrative,email,3/24/30,pending approval,157,1484.63,TRUE,FALSE,TRUE,1/12/26,settled
158,30,194,civil,email,3/23/28,approved,158,4519.27,TRUE,TRUE,TRUE,11/5/26,accepted
159,170,536,civil,whatsapp,9/16/28,awaiting response,159,2758.42,TRUE,FALSE,TRUE,3/26/25,settled
160,37,534,consultation only service,email,5/4/22,reviewing,160,4431.74,TRUE,TRUE,TRUE,10/31/20,resolved
161,173,805,criminal,phone,7/29/28,pending review,161,1608.77,TRUE,TRUE,TRUE,7/16/26,accepted
162,602,131,administrative,email,8/19/21,awaiting response,162,1571.27,TRUE,FALSE,TRUE,4/2/18,office_declined
163,383,771,real estate,whatsapp,1/30/19,approved,163,3763.43,TRUE,TRUE,TRUE,11/27/27,ongoing
164,217,799,civil,phone,3/27/19,pending approval,164,3002.53,TRUE,TRUE,TRUE,4/28/30,cancelled
165,498,66,labor,email,9/27/27,in process,165,417.58,TRUE,TRUE,TRUE,12/15/15,client_withdrew
166,681,671,real estate,phone,9/25/18,pending approval,166,3236.99,TRUE,TRUE,FALSE,3/17/26,accepted
167,514,260,civil,phone,6/7/18,delayed,167,3654.83,FALSE,FALSE,TRUE,11/20/15,settled
168,349,607,family,whatsapp,6/29/19,approved,168,4336.33,TRUE,FALSE,FALSE,12/31/29,lost_case
169,81,108,civil,email,6/18/27,reviewing,169,1080.8,FALSE,TRUE,TRUE,3/4/22,in_progress
170,742,14,immigration,whatsapp,2/10/15,completed,170,1406.65,FALSE,FALSE,TRUE,9/12/17,ongoing
171,719,177,commercial,phone,10/18/30,under investigation,171,546.8,TRUE,TRUE,TRUE,11/22/22,resolved
172,778,284,real estate,whatsapp,1/18/24,under investigation,172,1241.55,FALSE,TRUE,TRUE,9/11/21,office_declined
173,971,221,commercial,email,10/27/27,in progress,173,4872.35,TRUE,TRUE,TRUE,4/11/30,office_declined
174,766,425,family,phone,3/17/21,rejected,174,1640.07,FALSE,FALSE,FALSE,1/21/22,office_declined
175,557,308,consultation only service,email,9/1/18,approved,175,1376.74,TRUE,TRUE,TRUE,11/13/15,ongoing
176,451,77,criminal,whatsapp,8/30/24,in progress,176,199.46,TRUE,TRUE,FALSE,6/10/28,client_withdrew
177,468,647,civil,whatsapp,8/25/24,approved,177,4051.22,TRUE,TRUE,FALSE,2/25/28,accepted
178,169,894,labor,phone,4/9/28,delayed,178,3491.04,TRUE,TRUE,FALSE,5/21/30,settled
179,55,154,immigration,whatsapp,8/19/28,rejected,179,546.87,TRUE,TRUE,TRUE,2/22/19,lost_case
180,682,346,real estate,whatsapp,10/3/24,awaiting response,180,2987.88,TRUE,FALSE,TRUE,4/11/22,completed
181,628,995,criminal,phone,12/5/28,reviewing,181,4765.61,FALSE,TRUE,TRUE,4/26/21,completed
182,309,38,civil,whatsapp,8/31/24,delayed,182,1331.45,FALSE,TRUE,TRUE,4/28/23,lost_case
183,834,786,administrative,phone,8/17/23,on hold,183,1132.74,TRUE,FALSE,TRUE,7/13/27,resolved
184,117,535,criminal,whatsapp,10/18/23,on hold,184,810.09,TRUE,TRUE,FALSE,6/26/24,ongoing
185,394,980,consultation only service,whatsapp,10/24/20,pending,185,4942.67,TRUE,FALSE,FALSE,7/16/26,cancelled
186,831,457,labor,phone,4/7/23,awaiting response,186,874.81,FALSE,FALSE,FALSE,2/1/26,ongoing
187,7,347,labor,email,6/6/21,finalized,187,554.28,TRUE,FALSE,FALSE,8/27/22,cancelled
188,18,831,contract review,email,11/26/22,in progress,188,395.43,FALSE,TRUE,FALSE,10/5/24,client_withdrew
189,562,261,immigration,email,8/28/24,completed,189,4361.8,FALSE,FALSE,FALSE,11/27/15,ongoing
190,924,243,contract review,phone,10/6/26,pending approval,190,3499.14,FALSE,TRUE,FALSE,2/12/18,client_withdrew
191,331,307,civil,email,7/8/16,delayed,191,501.45,FALSE,TRUE,FALSE,1/13/29,accepted
192,800,892,labor,whatsapp,4/6/22,in progress,192,1705.43,FALSE,TRUE,TRUE,8/12/30,settled
193,926,323,consultation only service,whatsapp,1/31/16,rejected,193,4203.34,FALSE,TRUE,FALSE,12/1/20,completed
194,906,835,consultation only service,email,2/15/16,on hold,194,3472.83,FALSE,TRUE,TRUE,9/26/29,lost_case
195,285,601,labor,whatsapp,5/22/24,pending,195,2449.28,TRUE,FALSE,FALSE,10/10/23,ongoing
196,511,607,real estate,whatsapp,1/10/27,completed,196,1275.62,FALSE,TRUE,TRUE,8/1/24,settled
197,748,684,family,whatsapp,2/15/30,delayed,197,3200.9,FALSE,TRUE,TRUE,3/1/21,cancelled
198,387,13,immigration,email,11/7/23,finalized,198,1338.8,FALSE,TRUE,FALSE,1/8/24,in_progress
199,66,806,criminal,whatsapp,10/10/23,pending review,199,2188.4,FALSE,TRUE,FALSE,9/22/25,accepted
200,962,318,criminal,phone,5/1/22,under review,200,4449.96,TRUE,FALSE,FALSE,4/21/17,in_progress
201,248,928,family,whatsapp,1/6/22,awaiting response,201,817.58,FALSE,TRUE,FALSE,8/24/26,in_progress
202,477,20,criminal,whatsapp,7/8/20,on hold,202,3608.21,TRUE,FALSE,TRUE,12/18/18,ongoing
203,93,542,contract review,whatsapp,6/29/24,finalized,203,547.27,TRUE,FALSE,TRUE,6/1/19,accepted
204,802,37,criminal,whatsapp,11/6/26,rejected,204,3703.05,TRUE,FALSE,FALSE,1/25/30,client_withdrew
205,734,135,consultation only service,phone,8/3/24,approved,205,844.66,FALSE,FALSE,TRUE,8/24/21,settled
206,855,314,labor,email,5/30/25,approved,206,3318.4,TRUE,FALSE,FALSE,2/24/30,ongoing
207,87,23,administrative,whatsapp,1/18/26,on hold,207,4280.68,FALSE,FALSE,FALSE,10/27/30,ongoing
208,295,474,commercial,whatsapp,6/19/25,in process,208,2310.59,FALSE,TRUE,TRUE,2/17/26,settled
209,773,473,commercial,whatsapp,2/14/28,under investigation,209,2832.64,FALSE,FALSE,TRUE,5/11/23,settled
210,167,319,civil,whatsapp,3/5/26,finalized,210,2826.88,TRUE,TRUE,FALSE,12/10/15,in_progress
211,687,582,immigration,phone,10/17/27,reviewing,211,1729.47,TRUE,TRUE,FALSE,9/4/19,resolved
212,367,424,real estate,whatsapp,12/19/30,finalized,212,3809.99,FALSE,FALSE,FALSE,9/9/28,ongoing
213,340,845,immigration,email,2/3/25,reviewing,213,1518.83,FALSE,TRUE,FALSE,4/22/23,in_progress
214,811,268,real estate,whatsapp,11/7/15,approved,214,621.94,TRUE,FALSE,TRUE,3/24/19,office_declined
215,706,945,family,email,2/8/28,completed,215,486.87,FALSE,TRUE,TRUE,4/14/16,in_progress
216,601,629,family,email,9/3/24,completed,216,2046.54,TRUE,FALSE,TRUE,11/26/18,in_progress
217,711,843,real estate,phone,9/3/24,pending,217,690.9,TRUE,FALSE,FALSE,11/1/20,settled
218,457,493,immigration,email,1/11/17,reviewing,218,349.04,TRUE,TRUE,TRUE,2/19/26,cancelled
219,290,653,labor,whatsapp,12/9/21,under investigation,219,4227.92,TRUE,FALSE,TRUE,10/29/22,ongoing
220,889,34,real estate,email,3/7/20,completed,220,1345.6,TRUE,FALSE,FALSE,7/27/29,client_withdrew
221,383,148,immigration,whatsapp,9/23/18,approved,221,2521.72,TRUE,FALSE,TRUE,10/31/26,cancelled
222,28,803,civil,whatsapp,11/30/29,under review,222,730.52,FALSE,TRUE,TRUE,3/12/28,client_withdrew
223,680,548,contract review,phone,9/26/17,in process,223,4104.79,FALSE,TRUE,TRUE,10/21/30,ongoing
224,428,879,contract review,email,8/17/20,awaiting response,224,4560.19,TRUE,TRUE,FALSE,8/21/19,resolved
225,571,575,real estate,whatsapp,5/18/21,in progress,225,246.26,TRUE,TRUE,FALSE,5/20/22,resolved
226,501,344,criminal,phone,11/29/17,approved,226,3108.85,FALSE,FALSE,FALSE,11/12/30,completed
227,862,961,criminal,whatsapp,7/19/16,finalized,227,3369.94,FALSE,FALSE,FALSE,9/20/17,office_declined
228,699,894,labor,whatsapp,12/16/27,awaiting response,228,3498.76,TRUE,FALSE,TRUE,3/2/30,cancelled
229,321,306,labor,email,4/24/28,under review,229,902.75,FALSE,FALSE,FALSE,11/21/24,resolved
230,786,268,civil,whatsapp,11/25/24,rejected,230,207.04,FALSE,FALSE,FALSE,3/8/23,client_withdrew
231,286,459,civil,phone,11/16/23,on hold,231,4373.19,TRUE,FALSE,TRUE,7/28/29,completed
232,601,252,civil,email,8/9/26,completed,232,4942.63,FALSE,TRUE,TRUE,2/4/26,accepted
233,294,710,real estate,email,1/2/19,completed,233,946.18,FALSE,TRUE,TRUE,7/2/24,office_declined
234,25,257,administrative,whatsapp,3/16/30,pending,234,2794.12,FALSE,TRUE,FALSE,10/10/29,accepted
235,358,169,immigration,whatsapp,3/8/24,pending approval,235,1990.11,FALSE,FALSE,FALSE,3/4/27,ongoing
236,411,468,civil,whatsapp,2/21/15,awaiting response,236,3026.03,FALSE,TRUE,TRUE,11/9/19,accepted
237,915,141,criminal,whatsapp,7/14/15,in process,237,2330.41,TRUE,TRUE,TRUE,8/28/22,settled
238,737,510,family,whatsapp,9/5/27,rejected,238,507.27,TRUE,TRUE,FALSE,2/6/17,lost_case
239,356,972,family,email,3/2/29,rejected,239,560.42,TRUE,TRUE,TRUE,6/2/15,accepted
240,372,157,family,phone,12/30/22,pending approval,240,2389.44,FALSE,FALSE,FALSE,12/24/20,cancelled
241,540,212,consultation only service,whatsapp,12/14/15,pending,241,2814.65,FALSE,TRUE,FALSE,9/25/20,in_progress
242,389,366,real estate,whatsapp,5/1/24,under investigation,242,2638.11,FALSE,FALSE,TRUE,1/30/26,resolved
243,530,543,administrative,whatsapp,10/12/22,rejected,243,3571.35,TRUE,FALSE,TRUE,3/18/20,ongoing
244,491,526,contract review,email,6/6/28,in process,244,3787.59,TRUE,TRUE,FALSE,6/2/22,client_withdrew
245,14,274,criminal,phone,2/3/29,rejected,245,2003.38,TRUE,TRUE,TRUE,5/11/20,office_declined
246,954,299,civil,whatsapp,2/15/16,pending approval,246,2017.54,TRUE,TRUE,FALSE,2/18/17,resolved
