inquiry_id,client_id,origin_channel,menu_option,received_at,is_working_hours,assistant_id,first_response_at,response_delay_minutes,outcome
35,738,whatsapp,under_review,2024-07-16,TRUE,35,2024-07-16,0,under_review
36,967,email,cancelled,2024-04-21,TRUE,36,2026-02-26,973440,pending
37,782,phone,rejected,2025-01-26,TRUE,37,2025-09-26,349920,cancelled
38,983,email,pending,2024-01-25,FALSE,38,2026-09-12,1383840,approved
39,226,whatsapp,rejected,2026-05-29,FALSE,39,2026-05-29,0,approved
40,677,email,under_review,2025-06-05,FALSE,40,2026-03-26,423360,rejected
41,725,email,completed,2026-09-12,TRUE,41,2026-09-12,0,cancelled
42,233,whatsapp,cancelled,2024-05-16,FALSE,42,2026-01-30,898560,approved
43,972,phone,pending,2026-09-12,TRUE,43,2026-09-12,0,under_review
44,627,whatsapp,completed,2025-08-02,TRUE,44,2025-08-02,0,pending
45,163,whatsapp,on_hold,2024-11-27,TRUE,45,2024-11-27,0,rejected
46,176,whatsapp,completed,2025-06-24,TRUE,46,2025-06-24,0,approved
47,864,whatsapp,under_review,2025-08-28,FALSE,47,2025-08-28,0,delayed
48,257,whatsapp,completed,2025-10-29,FALSE,48,2026-03-05,182880,approved
49,23,whatsapp,rejected,2026-09-12,TRUE,49,2026-09-12,0,approved
50,896,whatsapp,completed,2025-10-08,FALSE,50,2025-10-08,0,rejected
51,617,whatsapp,pending,2026-09-12,TRUE,51,2026-09-12,0,under_review
52,177,email,cancelled,2025-08-08,FALSE,52,2026-01-18,234720,on_hold
53,705,whatsapp,on_hold,2025-07-14,FALSE,53,2025-07-14,0,rejected
54,509,email,on_hold,2025-09-19,TRUE,54,2025-09-19,0,rejected
55,975,whatsapp,cancelled,2024-09-23,FALSE,55,2024-11-07,64800,pending
56,779,whatsapp,completed,2024-03-07,TRUE,56,2025-07-18,717120,on_hold
57,909,whatsapp,schedule,2025-02-13,FALSE,57,2025-02-13,0,in_progress
58,717,email,completed,2026-09-12,TRUE,58,2026-09-12,0,approved
59,16,email,schedule,2024-11-28,TRUE,59,2026-02-07,627840,cancelled
60,675,email,pending,2025-03-02,FALSE,60,2025-04-01,43200,rejected
61,121,email,on_hold,2026-08-23,FALSE,61,2026-08-23,0,under_review
62,365,whatsapp,approved,2026-06-29,TRUE,62,2026-06-29,0,rejected
63,168,whatsapp,schedule,2025-01-11,TRUE,63,2026-05-17,707040,under_review
64,729,email,schedule,2026-09-06,FALSE,64,2026-09-06,0,on_hold
65,28,email,on_hold,2025-04-19,TRUE,65,2025-07-27,142560,cancelled
66,751,email,schedule,2025-03-12,FALSE,66,2025-12-14,398880,approved
67,175,whatsapp,schedule,2026-04-09,TRUE,67,2026-04-09,0,in_progress
68,17,whatsapp,on_hold,2024-06-27,FALSE,68,2024-09-15,115200,schedule
69,791,whatsapp,approved,2025-05-10,FALSE,69,2026-01-16,361440,cancelled
70,181,phone,cancelled,2024-01-25,TRUE,70,2025-03-24,610560,delayed
71,864,phone,cancelled,2025-12-13,FALSE,71,2025-12-13,0,pending
72,377,whatsapp,cancelled,2025-10-07,FALSE,72,2025-10-07,0,in_progress
73,828,email,cancelled,2025-08-12,TRUE,73,2026-04-02,335520,approved
74,171,email,schedule,2026-01-10,TRUE,74,2026-01-10,0,under_review
75,386,email,cancelled,2025-03-08,FALSE,75,2026-04-25,594720,under_review
76,141,whatsapp,pending,2024-07-05,TRUE,76,2026-01-30,826560,in_progress
77,301,phone,pending,2025-07-15,FALSE,77,2026-06-17,485280,in_progress
78,867,phone,under_review,2026-03-10,TRUE,78,2026-03-10,0,pending
79,507,phone,pending,2024-04-28,FALSE,79,2024-04-28,0,pending
80,773,whatsapp,rejected,2024-01-09,TRUE,80,2026-07-04,1306080,cancelled
81,879,whatsapp,on_hold,2026-03-28,FALSE,81,2026-08-26,217440,in_progress
82,680,whatsapp,pending,2024-12-01,FALSE,82,2025-05-11,231840,pending
83,877,email,on_hold,2024-12-12,FALSE,83,2024-12-12,0,under_review
84,784,phone,on_hold,2025-12-18,TRUE,84,2025-12-18,0,delayed
85,468,email,rejected,2025-03-16,FALSE,85,2025-03-16,0,under_review
86,818,whatsapp,completed,2024-10-21,FALSE,86,2026-08-02,936000,rejected
87,665,phone,pending,2024-04-21,TRUE,87,2026-04-17,1045440,under_review
88,286,email,in_progress,2025-12-16,TRUE,88,2026-09-12,388800,rejected
89,566,email,cancelled,2024-02-15,TRUE,89,2024-08-05,247680,on_hold
90,369,email,in_progress,2026-09-12,FALSE,90,2026-09-12,0,rejected
91,506,email,cancelled,2024-05-27,TRUE,91,2025-06-07,541440,approved
92,61,phone,under_review,2026-08-07,TRUE,92,2026-08-07,0,delayed
93,745,phone,pending,2026-09-12,TRUE,93,2026-09-12,0,on_hold
94,774,phone,approved,2025-03-31,FALSE,94,2025-05-06,51840,cancelled
95,634,phone,in_progress,2024-03-15,FALSE,95,2025-12-07,910080,schedule
96,436,phone,under_review,2025-04-21,TRUE,96,2025-04-21,0,cancelled
97,341,email,completed,2025-01-17,FALSE,97,2025-04-18,131040,in_progress
98,674,phone,pending,2025-03-08,TRUE,98,2025-03-08,0,under_review
99,340,whatsapp,pending,2024-02-02,FALSE,99,2024-09-04,309600,under_review
100,130,phone,pending,2026-03-26,FALSE,100,2026-05-28,90720,approved
101,704,whatsapp,on_hold,2025-07-11,FALSE,101,2026-09-12,616320,pending
102,343,email,rejected,2024-08-06,FALSE,102,2025-04-26,378720,delayed
103,768,whatsapp,approved,2024-07-25,TRUE,103,2025-08-20,563040,on_hold
104,403,whatsapp,schedule,2024-01-13,FALSE,104,2024-10-23,408960,under_review
105,735,email,under_review,2024-08-08,TRUE,105,2026-05-10,921600,delayed
106,941,phone,schedule,2025-10-16,FALSE,106,2026-09-12,476640,schedule
107,702,whatsapp,schedule,2025-10-11,FALSE,107,2025-10-11,0,pending
108,367,phone,under_review,2026-09-12,TRUE,108,2026-09-12,0,delayed
109,666,phone,completed,2025-09-05,FALSE,109,2025-10-17,60480,pending
110,685,email,in_progress,2026-05-14,FALSE,110,2026-05-14,0,delayed
111,587,phone,pending,2026-07-28,TRUE,111,2026-09-12,66240,on_hold
112,787,email,completed,2024-11-15,TRUE,112,2025-06-06,292320,schedule
113,241,email,schedule,2025-06-25,TRUE,113,2025-11-17,208800,approved
114,675,email,approved,2025-06-27,TRUE,114,2026-01-20,298080,on_hold
115,470,email,cancelled,2024-08-23,FALSE,115,2024-09-25,47520,approved
116,363,email,approved,2024-03-17,FALSE,116,2026-04-28,1111680,in_progress
117,300,email,in_progress,2024-10-29,FALSE,117,2026-04-28,786240,on_hold
118,314,email,rejected,2024-05-06,FALSE,118,2025-04-29,515520,cancelled
119,668,whatsapp,approved,2025-02-03,TRUE,119,2026-01-03,480960,approved
120,51,whatsapp,approved,2025-08-10,FALSE,120,2025-12-08,172800,pending
121,277,whatsapp,completed,2025-04-16,TRUE,121,2025-04-16,0,approved
122,901,whatsapp,approved,2026-07-23,TRUE,122,2026-07-23,0,rejected
123,447,whatsapp,approved,2025-03-03,TRUE,123,2025-03-03,0,cancelled
124,746,phone,approved,2025-08-11,TRUE,124,2026-07-11,480960,on_hold
125,507,whatsapp,under_review,2024-06-17,FALSE,125,2026-07-23,1103040,on_hold
126,395,whatsapp,pending,2026-08-11,TRUE,126,2026-09-12,46080,pending
127,12,email,approved,2026-02-18,TRUE,127,2026-02-18,0,rejected
128,993,email,schedule,2026-09-12,FALSE,128,2026-09-12,0,approved
129,580,whatsapp,rejected,2024-12-15,FALSE,129,2024-12-15,0,approved
130,985,email,schedule,2025-11-20,FALSE,130,2025-12-28,54720,on_hold
131,619,phone,on_hold,2025-05-24,TRUE,131,2025-09-12,159840,rejected
132,746,phone,completed,2026-02-23,FALSE,132,2026-07-26,220320,approved
133,856,whatsapp,approved,2025-06-30,FALSE,133,2026-09-12,632160,approved
134,42,whatsapp,rejected,2026-03-21,TRUE,134,2026-03-21,0,approved
135,775,whatsapp,pending,2026-09-04,TRUE,135,2026-09-04,0,in_progress
136,45,phone,pending,2025-02-08,TRUE,136,2026-06-22,718560,delayed
137,382,phone,in_progress,2024-11-22,FALSE,137,2025-08-28,401760,cancelled
138,481,email,in_progress,2025-09-15,TRUE,138,2025-09-15,0,rejected
139,365,whatsapp,cancelled,2024-08-13,FALSE,139,2024-08-13,0,delayed
140,798,email,approved,2025-02-09,FALSE,140,2025-02-09,0,approved
141,805,email,under_review,2024-04-08,TRUE,141,2024-04-08,0,approved
142,929,email,in_progress,2024-08-10,TRUE,142,2026-03-30,859680,approved
143,528,email,pending,2026-06-06,FALSE,143,2026-06-06,0,under_review
144,501,phone,pending,2025-05-20,FALSE,144,2025-11-20,264960,approved
145,541,whatsapp,cancelled,2024-10-31,FALSE,145,2026-07-16,897120,cancelled
146,697,email,cancelled,2026-03-11,FALSE,146,2026-03-11,0,schedule
147,481,email,under_review,2025-12-22,FALSE,147,2025-12-22,0,on_hold
148,339,email,completed,2024-09-30,FALSE,148,2026-03-27,781920,pending
149,876,phone,rejected,2026-09-12,FALSE,149,2026-09-12,0,rejected
150,832,phone,cancelled,2026-01-20,FALSE,150,2026-01-20,0,pending
151,598,phone,under_review,2025-06-14,TRUE,151,2025-06-14,0,under_review
152,139,email,in_progress,2025-08-04,FALSE,152,2025-08-04,0,delayed
153,877,email,pending,2024-10-18,FALSE,153,2026-05-24,839520,pending
154,340,email,under_review,2026-08-11,FALSE,154,2026-08-11,0,cancelled
155,936,email,completed,2026-07-04,FALSE,155,2026-07-04,0,delayed
156,696,whatsapp,rejected,2025-12-08,FALSE,156,2025-12-08,0,on_hold
157,333,whatsapp,approved,2025-04-03,TRUE,157,2026-04-03,525600,schedule
158,180,whatsapp,under_review,2025-02-16,FALSE,158,2025-05-26,142560,approved
159,429,phone,completed,2025-07-11,FALSE,159,2025-07-11,0,under_review
160,755,phone,under_review,2024-03-01,FALSE,160,2024-08-27,257760,cancelled
161,406,phone,under_review,2026-05-25,FALSE,161,2026-05-25,0,in_progress
162,524,phone,cancelled,2026-05-07,TRUE,162,2026-05-07,0,under_review
163,459,email,under_review,2024-09-13,TRUE,163,2025-03-05,249120,delayed
164,110,phone,on_hold,2026-08-04,TRUE,164,2026-08-04,0,on_hold
165,267,whatsapp,pending,2024-07-26,TRUE,165,2024-07-26,0,approved
166,921,phone,approved,2024-06-05,TRUE,166,2024-06-05,0,approved
167,641,phone,schedule,2026-09-07,TRUE,167,2026-09-07,0,schedule
168,828,phone,schedule,2024-12-13,FALSE,168,2026-07-30,855360,pending
169,724,whatsapp,completed,2024-05-18,TRUE,169,2026-03-10,951840,approved
170,898,email,rejected,2025-01-15,FALSE,170,2026-09-10,868320,under_review
171,859,whatsapp,rejected,2024-01-28,FALSE,171,2026-06-23,1262880,in_progress
172,355,whatsapp,cancelled,2026-09-12,FALSE,172,2026-09-12,0,on_hold
173,985,whatsapp,rejected,2026-04-21,TRUE,173,2026-04-21,0,on_hold
174,131,email,on_hold,2026-07-15,TRUE,174,2026-07-15,0,delayed
175,978,email,under_review,2024-11-08,TRUE,175,2025-07-02,339840,pending
176,235,whatsapp,on_hold,2026-09-12,FALSE,176,2026-09-12,0,under_review
177,596,whatsapp,approved,2025-01-03,FALSE,177,2025-01-03,0,rejected
178,642,whatsapp,cancelled,2026-09-12,FALSE,178,2026-09-12,0,under_review
179,228,phone,in_progress,2025-03-02,FALSE,179,2026-05-21,640800,rejected
180,610,whatsapp,approved,2024-02-27,FALSE,180,2025-07-09,717120,under_review
181,96,email,rejected,2025-03-15,FALSE,181,2025-03-15,0,pending
182,248,whatsapp,completed,2026-03-29,TRUE,182,2026-03-29,0,rejected
183,180,email,rejected,2026-09-12,TRUE,183,2026-09-12,0,pending
184,543,phone,pending,2024-12-23,FALSE,184,2025-03-19,123840,pending
185,755,email,in_progress,2026-09-12,FALSE,185,2026-09-12,0,cancelled
186,947,whatsapp,under_review,2025-08-24,FALSE,186,2025-08-24,0,on_hold
187,78,phone,in_progress,2024-02-01,TRUE,187,2026-05-02,1182240,approved
188,60,phone,schedule,2025-08-04,FALSE,188,2025-08-04,0,approved
189,723,whatsapp,pending,2026-04-03,TRUE,189,2026-09-12,233280,on_hold
190,605,phone,pending,2024-11-01,FALSE,190,2024-11-26,36000,approved
191,242,phone,approved,2024-03-02,FALSE,191,2025-11-21,905760,in_progress
192,725,whatsapp,pending,2025-11-11,TRUE,192,2026-09-12,439200,in_progress
193,376,whatsapp,pending,2024-10-01,FALSE,193,2024-10-05,5760,pending
194,837,whatsapp,on_hold,2024-07-11,TRUE,194,2025-01-30,292320,rejected
195,594,whatsapp,on_hold,2026-05-16,TRUE,195,2026-05-16,0,pending
196,190,whatsapp,approved,2025-11-21,FALSE,196,2025-11-21,0,delayed
197,255,email,approved,2026-09-12,TRUE,197,2026-09-12,0,cancelled
198,234,email,cancelled,2026-07-09,FALSE,198,2026-07-09,0,on_hold
199,924,email,approved,2024-10-13,TRUE,199,2024-10-21,11520,delayed
200,19,whatsapp,schedule,2026-01-17,FALSE,200,2026-09-12,342720,rejected
201,660,email,rejected,2026-06-12,FALSE,201,2026-09-12,132480,cancelled
202,863,whatsapp,cancelled,2025-08-19,TRUE,202,2025-08-19,0,schedule
203,98,email,in_progress,2026-09-12,FALSE,203,2026-09-12,0,in_progress
204,488,email,rejected,2026-06-14,FALSE,204,2026-06-14,0,delayed
205,364,whatsapp,under_review,2026-08-19,TRUE,205,2026-08-19,0,pending
206,202,email,in_progress,2026-09-12,TRUE,206,2026-09-12,0,delayed
207,485,phone,under_review,2026-04-14,TRUE,207,2026-04-14,0,in_progress
208,884,email,cancelled,2024-09-01,FALSE,208,2025-11-22,643680,pending
209,83,whatsapp,completed,2025-01-18,FALSE,209,2025-01-18,0,schedule
210,957,phone,under_review,2024-08-05,FALSE,210,2025-11-29,692640,delayed
211,441,phone,pending,2026-04-20,FALSE,211,2026-04-20,0,in_progress
212,837,email,rejected,2026-03-05,TRUE,212,2026-03-05,0,on_hold
213,709,whatsapp,pending,2025-09-13,FALSE,213,2025-09-13,0,delayed
214,808,whatsapp,on_hold,2026-08-13,FALSE,214,2026-08-13,0,approved
215,208,phone,pending,2026-08-29,FALSE,215,2026-08-29,0,cancelled
216,989,whatsapp,cancelled,2024-05-31,TRUE,216,2025-04-01,439200,approved
217,46,whatsapp,completed,2025-06-23,TRUE,217,2026-02-23,352800,in_progress
218,841,email,under_review,2025-03-05,TRUE,218,2025-03-05,0,cancelled
219,153,email,on_hold,2025-11-27,FALSE,219,2026-08-18,380160,approved
220,20,whatsapp,in_progress,2025-03-26,FALSE,220,2025-03-26,0,delayed
221,830,whatsapp,schedule,2024-11-30,TRUE,221,2026-09-12,937440,on_hold
222,612,email,in_progress,2024-11-16,TRUE,222,2024-11-16,0,schedule
223,988,phone,schedule,2025-05-03,TRUE,223,2026-09-12,715680,pending
224,429,phone,approved,2024-04-11,TRUE,224,2024-07-21,145440,approved
225,544,whatsapp,pending,2025-06-14,TRUE,225,2026-09-12,655200,schedule
226,817,whatsapp,under_review,2024-07-01,FALSE,226,2025-09-07,623520,delayed
227,662,phone,rejected,2025-10-25,FALSE,227,2026-05-23,302400,in_progress
228,547,phone,schedule,2024-09-06,TRUE,228,2026-09-12,1059840,in_progress
229,334,whatsapp,under_review,2025-10-28,FALSE,229,2026-09-12,459360,rejected
230,486,whatsapp,pending,2024-02-19,FALSE,230,2024-12-13,429120,cancelled
231,502,phone,under_review,2026-04-14,TRUE,231,2026-04-14,0,on_hold
232,849,phone,rejected,2025-09-29,TRUE,232,2025-09-29,0,rejected
233,911,email,under_review,2026-06-27,FALSE,233,2026-09-12,110880,on_hold
234,172,phone,approved,2026-09-12,FALSE,234,2026-09-12,0,pending
235,717,email,pending,2026-07-21,FALSE,235,2026-07-21,0,under_review
236,747,phone,under_review,2024-03-26,FALSE,236,2026-07-10,1203840,in_progress
237,650,phone,on_hold,2026-04-15,FALSE,237,2026-04-15,0,rejected
238,471,whatsapp,completed,2025-08-31,FALSE,238,2026-02-11,236160,approved
239,984,phone,under_review,2026-09-12,TRUE,239,2026-09-12,0,schedule
240,538,whatsapp,pending,2025-09-26,TRUE,240,2025-09-26,0,pending
241,486,email,under_review,2026-09-12,FALSE,241,2026-09-12,0,schedule
242,467,phone,pending,2024-09-06,TRUE,242,2024-09-06,0,delayed
243,616,whatsapp,cancelled,2025-06-30,FALSE,243,2026-04-03,398880,on_hold
244,992,whatsapp,approved,2026-09-12,FALSE,244,2026-09-12,0,under_review
245,824,phone,approved,2026-09-12,TRUE,245,2026-09-12,0,in_progress
246,825,whatsapp,cancelled,2025-10-08,FALSE,246,2025-10-08,0,pending
247,267,email,completed,2026-07-18,TRUE,247,2026-07-18,0,under_review
248,233,whatsapp,completed,2024-09-23,FALSE,248,2026-09-12,1035360,pending
249,96,email,schedule,2024-10-10,TRUE,249,2024-10-10,0,approved
250,765,phone,pending,2024-09-13,TRUE,250,2025-01-19,184320,cancelled
251,365,whatsapp,on_hold,2025-01-07,TRUE,251,2026-09-12,882720,in_progress
252,820,whatsapp,schedule,2026-03-06,TRUE,252,2026-03-06,0,schedule
253,409,email,pending,2025-03-02,TRUE,253,2026-09-12,804960,approved
254,471,email,pending,2025-05-01,TRUE,254,2025-05-12,15840,under_review
255,540,email,on_hold,2026-06-26,FALSE,255,2026-06-26,0,cancelled
256,723,phone,cancelled,2026-02-02,FALSE,256,2026-02-02,0,under_review
257,839,email,pending,2026-06-08,FALSE,257,2026-06-08,0,in_progress
258,347,whatsapp,approved,2026-07-05,TRUE,258,2026-07-05,0,pending
259,488,email,pending,2026-01-11,FALSE,259,2026-01-11,0,cancelled
260,844,whatsapp,pending,2025-03-24,TRUE,260,2025-10-31,318240,approved
261,24,whatsapp,approved,2024-04-16,TRUE,261,2025-04-18,528480,delayed
262,52,email,completed,2025-09-16,FALSE,262,2026-07-24,447840,under_review
263,870,phone,completed,2024-10-24,FALSE,263,2025-11-22,567360,on_hold
264,658,whatsapp,pending,2026-05-16,TRUE,264,2026-05-16,0,schedule
265,961,phone,pending,2026-09-12,FALSE,265,2026-09-12,0,pending
266,431,phone,pending,2025-12-12,FALSE,266,2025-12-12,0,delayed
267,565,whatsapp,pending,2025-03-18,FALSE,267,2025-07-01,151200,under_review
268,413,whatsapp,pending,2026-06-16,FALSE,268,2026-06-16,0,in_progress
269,547,whatsapp,pending,2025-07-10,TRUE,269,2025-07-10,0,schedule
270,249,phone,cancelled,2025-06-13,FALSE,270,2025-06-27,20160,on_hold
271,876,whatsapp,schedule,2024-08-09,FALSE,271,2024-12-02,165600,approved
272,892,phone,cancelled,2025-01-09,FALSE,272,2026-01-26,550080,under_review
273,66,phone,cancelled,2026-09-12,TRUE,273,2026-09-12,0,on_hold
274,400,email,under_review,2026-05-31,FALSE,274,2026-05-31,0,in_progress
275,534,phone,cancelled,2025-10-10,TRUE,275,2025-10-10,0,schedule
276,794,whatsapp,rejected,2025-10-07,FALSE,276,2026-05-22,326880,schedule
277,551,whatsapp,on_hold,2026-05-22,TRUE,277,2026-05-22,0,rejected
278,824,whatsapp,cancelled,2025-11-19,FALSE,278,2025-11-19,0,cancelled
279,516,phone,under_review,2024-07-19,TRUE,279,2026-06-27,1019520,schedule
280,118,phone,rejected,2024-11-16,FALSE,280,2024-11-16,0,under_review
281,251,whatsapp,cancelled,2024-06-20,FALSE,281,2025-07-04,545760,approved
282,223,email,completed,2024-02-01,TRUE,282,2025-06-17,722880,schedule
283,968,email,in_progress,2024-07-17,TRUE,283,2024-07-17,0,under_review
284,451,email,schedule,2024-03-13,TRUE,284,2026-09-12,1314720,approved
285,759,phone,on_hold,2024-06-18,TRUE,285,2026-06-25,1061280,under_review
286,804,whatsapp,pending,2026-09-12,TRUE,286,2026-09-12,0,delayed
287,875,phone,completed,2025-03-09,FALSE,287,2025-06-28,159840,under_review
288,693,phone,completed,2026-01-19,FALSE,288,2026-01-19,0,approved
289,753,phone,approved,2025-05-19,TRUE,289,2026-09-12,692640,schedule
290,407,phone,under_review,2024-10-29,TRUE,290,2026-09-12,983520,rejected
291,19,whatsapp,pending,2026-09-12,TRUE,291,2026-09-12,0,approved
292,619,email,schedule,2024-08-21,TRUE,292,2024-08-21,0,pending
293,405,phone,on_hold,2025-02-04,TRUE,293,2025-04-15,100800,pending
294,828,whatsapp,pending,2024-06-15,TRUE,294,2024-06-15,0,delayed
295,458,phone,under_review,2025-12-29,FALSE,295,2025-12-29,0,pending
296,698,whatsapp,rejected,2026-09-12,FALSE,296,2026-09-12,0,in_progress
297,811,phone,completed,2026-01-10,FALSE,297,2026-01-10,0,in_progress
298,544,phone,rejected,2025-12-21,FALSE,298,2026-08-14,339840,schedule
299,603,phone,completed,2026-06-17,FALSE,299,2026-06-17,0,cancelled
300,991,whatsapp,completed,2024-06-07,FALSE,300,2024-06-07,0,delayed
301,499,phone,schedule,2024-06-06,FALSE,301,2024-06-30,34560,approved
302,828,whatsapp,schedule,2026-09-12,FALSE,302,2026-09-12,0,rejected
303,120,whatsapp,under_review,2024-11-17,TRUE,303,2026-05-14,781920,rejected
304,295,email,cancelled,2026-09-12,FALSE,304,2026-09-12,0,schedule
305,718,whatsapp,on_hold,2024-10-27,TRUE,305,2025-09-28,483840,rejected
306,415,phone,cancelled,2024-03-16,FALSE,306,2025-11-17,879840,on_hold
307,797,whatsapp,rejected,2024-01-30,FALSE,307,2026-09-12,1376640,pending
308,164,whatsapp,approved,2024-09-15,TRUE,308,2026-01-25,715680,rejected
309,983,whatsapp,cancelled,2026-08-05,TRUE,309,2026-08-05,0,schedule
310,132,phone,in_progress,2025-01-22,TRUE,310,2025-02-01,14400,on_hold
311,164,whatsapp,pending,2025-04-30,FALSE,311,2025-04-30,0,cancelled
312,374,whatsapp,pending,2024-10-02,FALSE,312,2024-10-02,0,pending
313,576,whatsapp,schedule,2024-11-05,FALSE,313,2024-11-05,0,schedule
314,289,phone,cancelled,2024-01-28,FALSE,314,2025-06-07,714240,in_progress
315,663,email,pending,2025-10-18,TRUE,315,2025-10-18,0,approved
316,31,whatsapp,under_review,2026-05-05,FALSE,316,2026-05-05,0,approved
317,61,phone,approved,2024-02-04,TRUE,317,2026-06-03,1224000,approved
318,768,email,on_hold,2026-03-05,TRUE,318,2026-03-05,0,approved
319,447,email,pending,2025-02-17,TRUE,319,2025-04-21,90720,schedule
320,74,whatsapp,pending,2026-07-17,TRUE,320,2026-09-12,82080,on_hold
321,210,email,approved,2026-08-21,FALSE,321,2026-08-21,0,approved
322,456,whatsapp,approved,2026-08-28,TRUE,322,2026-09-12,21600,approved
323,773,email,under_review,2025-12-07,TRUE,323,2026-09-12,401760,on_hold
324,11,whatsapp,under_review,2025-04-14,TRUE,324,2025-04-14,0,under_review
325,557,email,pending,2024-10-29,TRUE,325,2026-07-28,917280,on_hold
326,233,whatsapp,schedule,2024-09-25,TRUE,326,2025-07-12,417600,schedule
327,887,email,rejected,2026-09-12,FALSE,327,2026-09-12,0,pending
328,885,phone,pending,2026-09-12,TRUE,328,2026-09-12,0,on_hold
329,609,whatsapp,in_progress,2025-07-23,TRUE,329,2025-12-20,216000,delayed
330,14,whatsapp,cancelled,2026-09-12,TRUE,330,2026-09-12,0,rejected
331,20,email,schedule,2024-01-18,FALSE,331,2025-12-05,989280,pending
332,547,phone,pending,2026-04-06,TRUE,332,2026-04-06,0,rejected
333,235,email,rejected,2024-03-17,FALSE,333,2024-10-17,308160,cancelled
334,403,phone,pending,2025-04-17,FALSE,334,2025-04-17,0,delayed
335,854,whatsapp,approved,2026-09-12,FALSE,335,2026-09-12,0,under_review
336,988,whatsapp,under_review,2025-05-17,TRUE,336,2025-05-17,0,approved
337,334,whatsapp,rejected,2025-10-18,FALSE,337,2026-01-09,119520,schedule
338,398,whatsapp,cancelled,2026-01-19,FALSE,338,2026-09-12,339840,cancelled
339,381,email,completed,2026-06-23,TRUE,339,2026-06-23,0,cancelled
340,943,phone,cancelled,2025-04-07,TRUE,340,2026-08-05,698400,rejected
341,773,whatsapp,pending,2025-01-25,FALSE,341,2025-10-26,394560,approved
342,236,whatsapp,cancelled,2025-05-27,TRUE,342,2025-05-27,0,rejected
343,53,phone,approved,2024-05-04,FALSE,343,2026-09-12,1239840,pending
344,692,phone,approved,2026-09-12,FALSE,344,2026-09-12,0,approved
345,642,email,on_hold,2026-03-09,TRUE,345,2026-03-09,0,approved
346,29,email,approved,2025-04-04,FALSE,346,2025-04-04,0,under_review
347,404,phone,on_hold,2026-05-05,FALSE,347,2026-05-05,0,schedule
348,66,email,schedule,2025-02-14,TRUE,348,2025-02-14,0,delayed
349,314,phone,under_review,2026-09-12,TRUE,349,2026-09-12,0,rejected
350,543,whatsapp,in_progress,2026-05-25,TRUE,350,2026-05-25,0,pending
351,689,phone,cancelled,2024-04-10,TRUE,351,2026-02-03,956160,under_review
352,606,email,pending,2025-07-30,FALSE,352,2025-07-30,0,schedule
353,943,email,cancelled,2024-09-03,TRUE,353,2025-04-11,316800,on_hold
