invoice_id,client_id,matter_id,invoice_type,issued_at,due_date,amount,status
49,377,12,consultation_fee,2025-03-08,2025-03-08,231240.17,failed
50,642,314,process_fee,2024-09-18,2024-09-18,142083.68,unpaid
51,384,493,other_service,2021-10-28,2023-06-25,11687.77,unpaid
52,920,781,process_fee,2025-08-24,2025-08-24,14866.12,paid
53,540,303,process_fee,2026-04-22,2026-04-22,190475.61,failed
54,544,612,other_service,2018-12-09,2018-12-09,103906.28,unpaid
55,909,775,consultation_fee,2019-04-25,2021-06-05,230044.31,paid
56,623,914,court_filing_fee,2018-03-28,2023-02-22,9073.01,unpaid
57,211,915,translation_service,2024-01-14,2024-01-14,148162.9,unpaid
58,486,417,process_fee,2018-01-02,2024-03-18,171321.36,not_processed
59,321,252,court_filing_fee,2021-08-12,2023-12-20,132453.08,unpaid
60,390,337,consultation_fee,2024-10-07,2024-10-07,2966.27,unpaid
61,741,572,other_service,2024-05-12,2026-09-28,215446.72,failed
62,251,512,consultation_fee,2026-01-24,2026-01-24,111089.3,unpaid
63,415,906,translation_service,2019-10-24,2023-02-02,242253.99,unpaid
64,427,511,urgent_service,2025-11-25,2025-11-25,164034.11,paid
65,887,604,other_service,2025-06-08,2025-06-08,146951.84,failed
66,111,595,document_preparation,2023-08-05,2023-08-05,42314.68,not_processed
67,669,4,other_service,2023-09-30,2024-10-18,110984.38,unpaid
68,76,615,consultation_fee,2025-08-31,2025-08-31,54791.45,not_processed
69,152,153,consultation_fee,2018-03-20,2021-07-21,142713.16,unpaid
70,554,106,process_fee,2018-09-08,2019-11-23,46536.31,unpaid
71,374,755,other_service,2026-08-02,2026-08-02,9519.37,unpaid
72,692,250,other_service,2025-06-12,2025-06-12,129402.13,failed
73,82,163,process_fee,2024-10-23,2025-02-02,219345.03,unpaid
74,657,678,court_filing_fee,2018-12-31,2025-12-28,187931.78,unpaid
75,196,938,process_fee,2018-05-17,2024-01-21,11326.56,not_processed
76,846,3,court_filing_fee,2020-01-01,2022-02-06,94850.97,paid
77,471,826,process_fee,2023-03-21,2025-03-17,248083.17,paid
78,502,16,document_preparation,2025-05-08,2025-05-08,49638.15,paid
79,567,736,document_preparation,2021-05-24,2025-04-20,53508.92,not_processed
80,117,273,other_service,2018-03-28,2025-07-27,220979.74,not_processed
81,618,399,court_filing_fee,2026-02-17,2026-02-17,7834.86,unpaid
82,142,802,other_service,2023-01-27,2025-01-30,207526.15,not_processed
83,427,511,translation_service,2018-06-18,2018-06-18,14457.61,unpaid
84,557,25,document_preparation,2026-09-12,2026-12-03,169371.9,paid
85,145,984,other_service,2026-01-29,2026-01-29,184514.71,not_processed
86,478,275,process_fee,2021-03-10,2021-03-10,217384.49,unpaid
87,236,534,other_service,2019-10-11,2019-10-11,170043.79,unpaid
88,251,713,urgent_service,2026-09-12,2026-09-12,197419.08,failed
89,798,425,court_filing_fee,2021-09-02,2022-07-25,104837.59,failed
90,927,234,court_filing_fee,2026-02-11,2026-02-11,15155.25,unpaid
91,605,830,court_filing_fee,2018-03-24,2018-03-24,199220.87,unpaid
92,363,579,document_preparation,2018-02-19,2019-02-21,175800.52,failed
93,96,486,urgent_service,2019-11-09,2026-12-02,113377.02,not_processed
94,41,29,document_preparation,2020-07-28,2020-07-28,1954.14,failed
95,212,320,urgent_service,2026-08-16,2026-08-16,73126.8,not_processed
96,19,470,urgent_service,2025-06-14,2025-06-14,34858.44,not_processed
97,145,984,document_preparation,2019-10-20,2022-08-19,124604.91,not_processed
98,119,66,urgent_service,2022-05-18,2024-07-27,48704.87,unpaid
99,96,486,court_filing_fee,2023-09-27,2024-05-10,244341.67,paid
100,451,318,consultation_fee,2023-06-28,2023-06-28,207439.98,not_processed
101,787,582,consultation_fee,2025-06-18,2025-06-18,145496.12,paid
102,449,592,court_filing_fee,2022-10-30,2025-05-07,27013.57,failed
103,824,321,other_service,2026-01-25,2026-01-25,215801.16,unpaid
104,773,51,document_preparation,2023-12-23,2023-12-23,168466.94,paid
105,801,475,court_filing_fee,2020-09-22,2020-09-22,113457.8,paid
106,541,922,other_service,2024-05-29,2025-12-12,72320.29,unpaid
107,478,778,document_preparation,2023-11-14,2023-11-14,35051.04,not_processed
108,377,433,translation_service,2019-05-30,2023-08-30,215161.84,not_processed
109,20,828,consultation_fee,2025-10-26,2025-10-26,119427.06,not_processed
110,243,353,translation_service,2025-10-19,2025-10-19,4096.45,failed
111,76,156,other_service,2020-10-02,2024-05-26,62895.95,failed
112,927,448,other_service,2020-07-21,2025-04-29,162642.73,failed
113,334,990,translation_service,2018-02-25,2018-07-05,94325.72,failed
114,384,517,urgent_service,2021-03-14,2021-03-14,224380,failed
115,869,436,consultation_fee,2023-02-10,2023-02-10,144726.92,failed
116,384,365,other_service,2022-03-12,2025-01-29,203849.9,failed
117,554,905,other_service,2023-12-10,2023-12-10,132118.59,paid
118,544,233,urgent_service,2020-11-07,2024-01-22,19832.94,unpaid
119,13,449,urgent_service,2023-01-12,2023-01-12,46224.65,unpaid
120,90,138,consultation_fee,2018-05-16,2026-08-21,239602.73,unpaid
121,612,787,court_filing_fee,2026-02-04,2026-02-04,90043.78,paid
122,475,542,urgent_service,2023-10-20,2026-08-13,225736.46,not_processed
123,883,510,consultation_fee,2019-11-21,2026-07-17,145226.85,unpaid
124,90,138,urgent_service,2022-03-21,2023-11-11,235323.59,paid
125,886,494,other_service,2019-09-20,2022-07-05,95746.21,unpaid
126,936,264,urgent_service,2019-01-26,2024-09-21,127005.88,failed
127,66,617,consultation_fee,2022-10-24,2022-10-24,179924.98,paid
128,164,381,other_service,2022-03-02,2023-02-25,230465.98,unpaid
129,408,373,court_filing_fee,2020-04-16,2020-04-16,224835.49,not_processed
130,32,452,translation_service,2023-09-29,2023-09-29,152689.53,not_processed
131,384,517,process_fee,2023-12-28,2023-12-28,128297.19,paid
132,889,380,other_service,2019-01-23,2020-08-09,239897.43,unpaid
133,825,842,document_preparation,2020-12-25,2024-03-13,169681.78,unpaid
134,773,51,process_fee,2024-09-25,2026-12-13,102368.67,not_processed
135,787,582,translation_service,2023-11-14,2023-11-14,239697.76,not_processed
136,957,206,process_fee,2023-01-01,2025-04-15,195874.67,paid
137,76,888,process_fee,2023-01-28,2023-05-07,37692.81,unpaid
138,169,102,other_service,2021-09-06,2024-06-05,3682.69,unpaid
139,486,417,process_fee,2018-09-15,2023-07-15,144199.79,unpaid
140,322,575,other_service,2024-05-14,2024-05-14,23585.81,paid
141,936,69,court_filing_fee,2018-10-19,2021-02-23,111779.88,failed
142,159,650,court_filing_fee,2018-05-29,2025-09-23,193258.78,failed
143,844,807,document_preparation,2025-01-18,2026-07-19,37350.7,failed
144,772,537,consultation_fee,2019-09-07,2020-09-17,106837.88,failed
145,519,652,process_fee,2019-11-23,2022-03-20,168647.37,unpaid
146,616,701,process_fee,2021-02-22,2021-02-22,172638.01,failed
147,346,194,translation_service,2019-09-07,2019-09-07,158904.79,failed
148,32,452,process_fee,2026-07-10,2026-07-10,92801.74,paid
149,254,179,urgent_service,2023-05-13,2023-05-13,76029.36,failed
150,475,756,document_preparation,2018-06-18,2020-02-12,6671.41,failed
151,431,476,consultation_fee,2022-11-14,2022-11-14,164063.7,unpaid
152,236,534,other_service,2021-02-04,2021-02-04,78125.6,not_processed
153,456,154,translation_service,2019-11-19,2026-01-08,134579.01,unpaid
154,859,795,document_preparation,2022-06-25,2024-06-05,205761.89,unpaid
155,487,801,document_preparation,2026-09-12,2026-09-12,17127.9,paid
156,72,90,translation_service,2025-09-05,2025-09-05,91659.79,failed
157,19,578,other_service,2023-01-28,2023-01-28,52180.14,not_processed
158,41,398,process_fee,2021-05-05,2023-01-18,138357.12,failed
159,499,382,document_preparation,2026-07-27,2026-07-27,18882.35,not_processed
160,702,777,consultation_fee,2022-10-11,2023-02-09,64018.75,unpaid
161,552,136,urgent_service,2020-02-02,2021-08-21,176052.38,unpaid
162,149,607,urgent_service,2024-06-30,2025-03-08,43039.64,not_processed
163,793,753,document_preparation,2023-01-06,2023-01-06,191591.45,unpaid
164,152,76,document_preparation,2025-05-30,2025-05-30,108231.94,failed
165,53,660,urgent_service,2019-05-13,2020-05-19,16430.02,failed
166,546,601,process_fee,2026-04-24,2026-04-24,150649.07,failed
167,111,474,process_fee,2024-08-27,2026-11-18,113451.07,unpaid
168,694,590,consultation_fee,2018-07-01,2025-08-18,102061.28,failed
169,341,976,translation_service,2025-07-26,2026-07-24,77436.99,not_processed
170,129,48,urgent_service,2022-09-07,2026-01-09,137080.49,failed
171,626,241,consultation_fee,2019-10-07,2019-10-07,221361.6,failed
172,475,509,document_preparation,2021-10-02,2021-10-02,146962.72,not_processed
173,145,439,translation_service,2024-11-26,2024-11-26,212044.12,not_processed
174,321,677,process_fee,2026-06-30,2026-06-30,135773.58,unpaid
175,519,834,process_fee,2020-12-02,2021-09-28,82441.06,not_processed
176,993,539,translation_service,2025-03-14,2025-03-14,63523.53,not_processed
177,983,890,process_fee,2019-12-25,2019-12-25,148373.69,failed
178,846,758,document_preparation,2019-12-02,2026-06-02,43847.98,unpaid
179,211,915,process_fee,2018-06-06,2021-01-20,106189.46,failed
180,76,156,other_service,2021-01-23,2021-07-10,8163.67,unpaid
181,19,809,consultation_fee,2022-07-28,2025-02-17,4819.57,unpaid
182,333,362,other_service,2022-09-19,2022-09-19,44590.49,not_processed
183,92,762,translation_service,2020-08-28,2023-06-10,24753.66,paid
184,154,838,consultation_fee,2022-09-22,2024-11-28,29209.77,unpaid
185,53,991,process_fee,2021-06-30,2024-08-30,241272.4,not_processed
186,777,77,consultation_fee,2019-01-29,2019-01-29,87422.23,not_processed
187,65,488,translation_service,2023-04-26,2023-04-26,187568.72,paid
188,849,173,translation_service,2021-08-24,2021-08-24,41342.79,unpaid
189,128,943,document_preparation,2026-04-11,2026-04-11,89369.14,not_processed
190,544,110,translation_service,2019-12-01,2019-12-01,155821.98,not_processed
191,832,235,process_fee,2025-10-06,2025-10-06,64734.47,unpaid
192,370,220,other_service,2018-08-16,2023-07-17,179312.78,failed
193,641,317,document_preparation,2024-11-12,2024-12-20,78539.65,failed
194,920,588,other_service,2026-01-27,2026-01-27,228569.39,unpaid
195,152,667,urgent_service,2024-07-29,2024-07-29,92254.08,unpaid
196,849,506,other_service,2020-02-26,2020-02-26,136960.07,unpaid
197,128,628,consultation_fee,2022-11-19,2025-06-04,40600.26,unpaid
198,6,13,court_filing_fee,2018-03-01,2021-10-09,60891.63,unpaid
199,964,936,translation_service,2021-04-14,2021-04-14,68997.92,not_processed
200,475,622,translation_service,2020-05-14,2022-06-18,214175.65,failed
201,154,838,court_filing_fee,2023-01-24,2026-02-03,187649.48,failed
202,90,611,process_fee,2024-09-20,2024-09-20,76744.59,failed
203,833,704,document_preparation,2019-03-16,2023-01-08,133675.01,unpaid
204,449,684,translation_service,2020-07-16,2020-07-16,30102.31,unpaid
205,353,93,document_preparation,2018-08-28,2018-08-28,122743,unpaid
206,487,681,document_preparation,2019-10-21,2021-09-17,48226.31,unpaid
207,828,603,translation_service,2022-09-14,2022-09-14,142533.53,unpaid
208,916,521,document_preparation,2020-01-11,2023-12-21,93970.57,unpaid
209,254,179,document_preparation,2022-01-06,2022-01-28,185992.55,paid
210,248,323,process_fee,2026-09-12,2026-09-12,216979.48,not_processed
211,416,803,urgent_service,2019-05-30,2019-10-23,150563.16,unpaid
212,541,118,consultation_fee,2018-07-31,2022-05-07,160870.11,not_processed
213,32,735,consultation_fee,2020-03-27,2022-04-23,189913.3,unpaid
214,616,701,document_preparation,2024-02-02,2025-02-01,36481.46,failed
215,895,195,other_service,2021-12-03,2025-10-06,141945.89,not_processed
216,774,927,document_preparation,2025-09-07,2026-11-23,103769.64,failed
217,875,49,consultation_fee,2023-11-17,2023-11-17,189205.44,failed
218,964,92,urgent_service,2019-12-20,2025-06-19,38139.42,paid
219,664,816,translation_service,2018-09-14,2026-10-12,164347.47,unpaid
220,475,164,process_fee,2018-11-11,2022-03-03,115690.47,unpaid
221,228,84,consultation_fee,2020-05-15,2025-12-02,78672.17,unpaid
222,413,416,urgent_service,2024-07-09,2024-07-09,224759.92,not_processed
223,554,106,court_filing_fee,2026-09-12,2026-09-12,148753.05,not_processed
224,753,516,document_preparation,2020-08-23,2020-08-23,135176.34,unpaid
225,374,894,translation_service,2019-08-27,2019-08-27,246081.46,unpaid
226,567,295,process_fee,2025-11-15,2025-11-15,189951.87,paid
227,236,782,court_filing_fee,2023-09-07,2026-11-27,58989.07,failed
228,426,944,document_preparation,2023-11-23,2026-04-04,89780.91,failed
229,746,112,process_fee,2018-08-23,2024-08-15,123147.38,unpaid
230,799,808,document_preparation,2021-12-28,2021-12-28,77886.61,paid
231,145,591,document_preparation,2023-05-10,2023-09-26,125343.54,unpaid
232,753,140,court_filing_fee,2020-04-21,2026-06-02,101899.98,failed
233,381,852,document_preparation,2025-05-20,2025-05-20,52780.53,not_processed
234,806,218,document_preparation,2024-09-08,2024-09-08,83223.42,not_processed
235,321,409,translation_service,2026-09-12,2026-09-12,212967.17,failed
236,426,623,consultation_fee,2024-03-31,2024-03-31,166430.71,failed
237,433,65,document_preparation,2018-12-10,2025-07-06,18331,unpaid
238,780,495,urgent_service,2019-12-26,2026-07-07,90826.79,paid
239,466,552,court_filing_fee,2026-09-07,2026-09-07,160785.32,unpaid
240,228,478,urgent_service,2025-03-22,2025-03-22,31822.24,not_processed
241,519,533,translation_service,2018-07-10,2019-06-27,39340.78,failed
242,429,345,process_fee,2022-01-15,2024-01-01,136187.14,unpaid
243,552,136,document_preparation,2025-08-19,2025-08-19,197206.27,not_processed
244,841,469,document_preparation,2025-09-08,2025-09-08,118030.03,failed
245,886,374,translation_service,2021-05-27,2021-05-27,243622.71,unpaid
246,966,779,translation_service,2020-06-22,2024-04-22,10929.03,failed
247,426,98,document_preparation,2021-04-09,2021-04-09,243283.18,paid
248,313,553,process_fee,2026-09-12,2026-09-12,159001.6,paid
249,376,769,other_service,2021-03-29,2022-07-07,29382.11,not_processed
250,111,595,consultation_fee,2019-09-07,2020-08-09,45011.29,unpaid
251,601,240,other_service,2018-05-28,2020-05-07,51604.02,unpaid
252,447,810,consultation_fee,2026-06-11,2026-06-11,180288.4,failed
253,541,988,document_preparation,2026-06-27,2026-06-27,20322.41,unpaid
254,746,61,process_fee,2023-07-24,2023-11-22,101597.01,not_processed
255,334,970,document_preparation,2019-07-09,2020-06-25,57653.45,not_processed
256,988,222,other_service,2018-03-24,2021-06-30,45985.64,paid
257,42,945,translation_service,2023-11-06,2024-01-02,139506.84,paid
258,933,695,process_fee,2023-06-16,2023-06-16,226734.06,not_processed
259,139,305,court_filing_fee,2019-05-03,2025-12-12,137902.76,unpaid
260,228,231,translation_service,2026-09-12,2026-09-12,186055.77,not_processed
261,121,963,court_filing_fee,2022-05-04,2026-07-27,186372.47,unpaid
262,334,251,court_filing_fee,2020-11-25,2021-01-13,135774.7,failed
263,20,828,translation_service,2020-01-11,2020-08-21,220041.35,unpaid
264,547,372,process_fee,2020-09-26,2020-09-26,14570.63,not_processed
265,48,114,document_preparation,2018-12-09,2023-07-31,22751.59,not_processed
266,930,909,translation_service,2025-12-13,2025-12-13,181444.31,unpaid
267,153,710,process_fee,2026-04-05,2026-04-05,161352.92,paid
268,96,486,court_filing_fee,2022-08-12,2022-08-12,116965.11,failed
269,454,631,translation_service,2023-02-07,2024-01-04,101577.35,failed
270,909,135,court_filing_fee,2025-04-10,2025-04-10,206981.44,unpaid
271,776,60,document_preparation,2021-11-23,2026-09-29,88572.72,unpaid
272,523,289,court_filing_fee,2026-09-12,2026-09-12,70775.61,unpaid
273,664,570,translation_service,2020-05-29,2020-05-29,160719.34,paid
274,780,495,other_service,2021-09-23,2021-09-23,40648.39,failed
275,26,62,court_filing_fee,2022-12-07,2023-03-25,159881.24,failed
276,28,732,translation_service,2019-09-30,2019-09-30,221100.58,not_processed
277,39,80,process_fee,2024-04-03,2024-04-03,36091.33,paid
278,321,568,translation_service,2018-09-23,2023-09-15,184372.9,unpaid
279,119,66,other_service,2021-04-03,2026-08-24,52487.49,unpaid
280,275,690,consultation_fee,2019-04-21,2019-04-21,41313.27,unpaid
281,384,751,urgent_service,2019-09-22,2022-03-24,197496.31,unpaid
282,801,358,court_filing_fee,2021-08-30,2024-07-05,60762.59,failed
283,6,13,urgent_service,2019-08-02,2023-01-04,199207.14,unpaid
284,162,722,court_filing_fee,2024-12-17,2024-12-17,244775.84,not_processed
285,679,659,translation_service,2018-03-27,2020-07-06,166380.36,failed
286,61,35,consultation_fee,2026-05-06,2026-05-06,244445.63,failed
287,554,390,process_fee,2026-02-04,2026-02-04,126012.79,paid
288,240,827,court_filing_fee,2024-09-10,2025-07-16,233958.37,unpaid
289,911,541,urgent_service,2026-02-03,2026-02-03,236100.2,failed
290,426,944,consultation_fee,2025-12-15,2026-12-14,161950.73,paid
291,429,21,document_preparation,2020-04-03,2020-04-03,229142.36,not_processed
292,859,325,court_filing_fee,2020-10-18,2024-07-16,13669.9,not_processed
293,92,59,other_service,2022-09-15,2022-09-15,181162.89,unpaid
294,729,388,urgent_service,2022-03-11,2024-07-30,108685.7,paid
295,795,871,court_filing_fee,2018-09-28,2024-09-02,157891.96,failed
296,431,907,translation_service,2021-08-05,2026-11-30,81724.65,not_processed
297,657,557,consultation_fee,2018-07-16,2018-11-12,139187.46,paid
298,820,627,court_filing_fee,2025-10-23,2025-10-23,190173.41,failed
299,387,34,process_fee,2022-06-25,2025-06-20,60472.27,paid
300,149,310,process_fee,2018-02-22,2019-05-20,245180.9,failed
301,19,931,urgent_service,2020-09-10,2021-08-08,241515.83,paid
302,295,845,process_fee,2019-11-13,2020-01-31,54538.91,paid
303,825,842,consultation_fee,2026-01-27,2026-01-27,11994.04,unpaid
304,295,916,translation_service,2019-06-15,2019-06-15,145671.22,failed
305,19,931,document_preparation,2026-09-12,2026-09-12,89673.35,paid
306,755,950,urgent_service,2021-04-10,2021-04-10,200544.14,unpaid
307,210,356,other_service,2022-05-25,2022-05-25,131497.66,unpaid
308,42,945,document_preparation,2023-01-06,2023-01-26,95650.49,failed
309,28,732,court_filing_fee,2020-08-25,2020-08-25,181619.15,failed
310,889,380,consultation_fee,2020-07-27,2023-03-28,219084.37,not_processed
311,966,311,document_preparation,2024-03-22,2024-03-22,158939.99,paid
312,859,772,document_preparation,2020-12-25,2024-03-19,249416.77,not_processed
313,828,603,consultation_fee,2020-08-02,2020-08-02,239444.23,unpaid
314,146,960,translation_service,2022-01-08,2022-03-19,144049.77,not_processed
315,346,708,translation_service,2019-04-21,2020-05-04,48894.97,not_processed
316,826,877,process_fee,2026-07-25,2026-07-25,200956.9,unpaid
317,429,811,translation_service,2019-04-27,2026-12-01,102360.82,failed
318,152,76,urgent_service,2018-12-18,2025-01-24,28077.06,not_processed
319,236,534,process_fee,2023-03-21,2023-03-21,12906.11,unpaid
320,628,239,urgent_service,2021-12-20,2024-03-22,32430.44,not_processed
321,235,376,urgent_service,2024-04-29,2024-04-29,68629.38,paid
322,413,792,translation_service,2025-10-01,2025-10-01,78930.7,failed
323,29,414,translation_service,2025-03-19,2025-03-19,34289.88,unpaid
324,657,825,urgent_service,2022-05-16,2022-05-16,128648.49,unpaid
325,76,638,process_fee,2022-11-13,2022-11-13,22759.82,paid
326,356,822,other_service,2023-04-06,2023-04-06,14728.63,unpaid
327,154,28,urgent_service,2022-05-06,2025-12-27,229829.3,not_processed
328,864,455,other_service,2026-07-05,2026-07-05,209941.56,not_processed
329,774,927,document_preparation,2024-05-16,2024-05-16,122508.95,failed
330,886,374,other_service,2024-08-21,2025-12-29,29893.81,failed
331,416,803,process_fee,2025-01-03,2025-05-29,83935.92,paid
332,61,682,document_preparation,2025-12-27,2025-12-27,247416.5,not_processed
333,61,682,translation_service,2023-11-19,2026-04-17,173423.92,unpaid
334,236,643,other_service,2018-12-07,2023-04-01,246291.36,failed
335,599,291,document_preparation,2023-11-20,2025-02-14,114532.56,paid
336,32,452,other_service,2020-03-07,2022-07-03,170565.96,unpaid
337,742,630,translation_service,2022-02-05,2022-02-05,249403.64,failed
338,321,409,urgent_service,2019-10-09,2021-12-08,127928.75,paid
339,967,891,court_filing_fee,2025-10-02,2025-10-02,4372.14,failed
340,53,991,document_preparation,2024-05-26,2024-05-26,36589.54,unpaid
341,374,894,consultation_fee,2023-09-26,2025-07-02,42381.1,paid
342,930,328,other_service,2022-05-08,2025-09-10,238804.64,failed
343,456,508,translation_service,2019-06-23,2021-12-11,85099.59,failed
344,816,981,urgent_service,2025-03-07,2025-03-07,105582.62,unpaid
345,859,6,court_filing_fee,2022-09-20,2022-09-20,212739.68,failed
346,879,423,document_preparation,2023-12-05,2023-12-05,68796.18,unpaid
347,911,541,other_service,2026-08-14,2026-08-14,71770.63,not_processed
348,399,440,process_fee,2026-09-12,2026-09-12,199617.83,failed
349,619,883,process_fee,2026-08-28,2026-08-28,71330.42,unpaid
350,943,879,translation_service,2021-07-21,2021-07-21,247419.66,unpaid
351,399,745,court_filing_fee,2026-01-29,2026-01-29,194620.57,unpaid
352,61,929,document_preparation,2018-01-12,2019-06-06,55907.14,unpaid
353,413,467,court_filing_fee,2023-07-21,2023-07-21,169768.55,unpaid
354,384,442,translation_service,2020-08-01,2020-10-27,191906.12,not_processed
355,142,802,other_service,2018-07-19,2026-07-09,102190.92,unpaid
356,152,637,court_filing_fee,2025-05-02,2025-05-02,151979.05,failed
357,704,450,urgent_service,2018-11-14,2026-08-10,170194.44,not_processed
358,61,929,consultation_fee,2018-04-26,2021-09-20,87894.04,paid
359,254,179,translation_service,2020-08-12,2020-08-12,1322.37,failed
360,554,422,consultation_fee,2026-09-12,2026-09-12,230460.66,unpaid
361,251,713,translation_service,2018-05-15,2019-12-31,36473.59,paid
362,833,784,document_preparation,2018-04-03,2024-09-20,171311.94,unpaid
363,139,254,consultation_fee,2021-10-13,2026-03-14,185023.05,failed
364,370,220,court_filing_fee,2022-01-24,2026-09-28,62032.54,not_processed
365,669,4,translation_service,2023-12-23,2023-12-23,35851.05,not_processed
366,228,84,consultation_fee,2020-06-29,2020-06-29,2671.97,unpaid
367,669,742,other_service,2026-03-29,2026-03-29,89312.69,paid
368,212,525,urgent_service,2019-06-21,2022-09-24,244134.02,unpaid
369,514,561,document_preparation,2018-11-16,2025-02-14,32585.11,paid
370,616,53,court_filing_fee,2019-02-08,2020-02-17,185093.4,unpaid
371,449,684,document_preparation,2022-05-15,2024-09-30,177705.22,paid
372,506,109,court_filing_fee,2021-10-10,2023-05-31,221678.55,not_processed
373,547,372,court_filing_fee,2021-04-04,2022-06-27,154051.62,not_processed
374,501,593,consultation_fee,2023-04-29,2023-04-29,88307.23,paid
375,426,98,consultation_fee,2018-01-18,2021-05-13,110706.87,not_processed
376,228,478,process_fee,2020-05-21,2025-12-19,106073.86,unpaid
377,798,39,document_preparation,2024-01-22,2024-01-22,241350.6,failed
378,879,423,translation_service,2019-12-21,2025-01-31,2959.65,failed
379,4,43,consultation_fee,2022-09-20,2025-09-28,240026.77,failed
380,619,700,urgent_service,2025-07-23,2026-04-28,221180.6,unpaid
381,541,922,document_preparation,2023-09-18,2026-07-22,233755.03,unpaid
382,666,594,process_fee,2018-04-22,2018-10-20,26555.25,unpaid
383,534,184,process_fee,2023-04-28,2025-02-02,61149.34,failed
384,384,442,consultation_fee,2021-10-06,2025-07-08,197527.82,not_processed
385,475,979,document_preparation,2019-12-21,2021-12-10,16849.41,failed
386,377,433,other_service,2026-09-12,2026-09-12,28492.1,failed
387,451,505,court_filing_fee,2026-08-02,2026-08-02,108163.87,not_processed
388,431,487,process_fee,2024-05-31,2024-05-31,215518.84,not_processed
389,482,248,court_filing_fee,2026-03-09,2026-03-09,239367.95,not_processed
390,170,274,process_fee,2023-08-07,2023-08-07,190933.32,failed
391,40,200,court_filing_fee,2026-01-30,2026-01-30,99830.45,not_processed
392,353,954,other_service,2019-10-23,2023-10-30,230661.7,unpaid
393,846,709,consultation_fee,2023-12-31,2023-12-31,191736.32,paid
394,745,958,document_preparation,2026-08-04,2026-08-04,97989.5,unpaid
395,35,983,translation_service,2020-10-09,2024-01-05,94186.55,paid
396,887,989,other_service,2021-08-22,2021-08-22,28461.37,unpaid
397,605,437,consultation_fee,2024-06-12,2026-10-09,235376.11,paid
398,511,182,translation_service,2022-10-01,2022-10-01,102341.09,paid
