matter_id,client_id,consultation_id,matter_type,origin_channel,opened_at,current_stage,responsible_lawyer_id,total_fee_agreed,contract_signed,power_of_attorney_signed,documents_complete,closed_at,outcome
63,697,722,labor,email,2018-09-30,rejected,63,1058.21,FALSE,TRUE,TRUE,,ongoing
64,2,329,immigration,whatsapp,2025-10-12,closed,64,2948.35,TRUE,FALSE,FALSE,2025-10-12,completed
65,433,49,family,email,2016-11-22,closed,65,2909.44,TRUE,TRUE,TRUE,2025-11-11,completed
66,119,442,consultation,phone,2026-09-12,closed,66,2110.67,TRUE,FALSE,FALSE,2026-09-12,completed
67,41,441,contract_review,whatsapp,2024-11-23,closed,67,1688.66,FALSE,TRUE,FALSE,2026-09-12,settled
68,818,540,administrative,phone,2026-09-12,pending,68,2559.9,TRUE,FALSE,TRUE,,ongoing
69,936,360,administrative,whatsapp,2025-07-23,rejected,69,3727.2,TRUE,TRUE,FALSE,,ongoing
70,612,999,commercial,email,2026-09-12,closed,70,1131.69,FALSE,FALSE,FALSE,2026-09-12,settled
71,121,488,administrative,whatsapp,2017-11-19,pending,71,1674.13,FALSE,TRUE,FALSE,,ongoing
72,451,796,criminal,email,2019-01-22,pending,72,1511.35,FALSE,TRUE,FALSE,,in_progress
73,966,961,contract_review,whatsapp,2019-01-27,closed,73,3903.37,TRUE,TRUE,TRUE,2019-01-27,settled
74,251,372,family,phone,2021-06-02,closed,74,3222.08,FALSE,FALSE,FALSE,2026-09-12,settled
75,768,639,administrative,email,2017-08-08,closed,75,3236.09,TRUE,TRUE,FALSE,2019-05-23,settled
76,152,738,administrative,whatsapp,2021-08-27,in_process,76,1795.75,FALSE,FALSE,FALSE,,in_progress
77,777,986,labor,email,2019-07-24,pending,77,1262.9,FALSE,FALSE,FALSE,,in_progress
78,182,962,civil,phone,2016-07-11,closed,78,4935.67,FALSE,FALSE,TRUE,2026-09-12,lost_case
79,829,692,contract_review,whatsapp,2016-03-20,in_process,79,1694.11,FALSE,TRUE,FALSE,,accepted
80,39,913,commercial,whatsapp,2017-04-29,under_investigation,80,1835.95,TRUE,FALSE,FALSE,,ongoing
81,134,18,contract_review,phone,2026-09-12,closed,81,2606.07,TRUE,FALSE,FALSE,2026-09-12,cancelled
82,485,475,commercial,phone,2022-07-13,closed,82,1418.65,TRUE,FALSE,FALSE,2022-07-13,client_withdrawal
83,416,522,civil,phone,2015-01-21,closed,83,3668.29,FALSE,FALSE,TRUE,2020-10-29,client_withdrawal
84,228,525,civil,phone,2026-04-05,under_review,84,3200.94,TRUE,TRUE,TRUE,,accepted
85,842,749,immigration,phone,2019-06-16,pending,85,3308.61,FALSE,TRUE,FALSE,,accepted
86,627,333,real_estate,phone,2019-06-14,closed,86,1326.06,FALSE,TRUE,FALSE,2022-06-07,completed
87,475,203,real_estate,whatsapp,2022-04-21,under_review,87,1437.02,TRUE,FALSE,FALSE,,accepted
88,757,104,immigration,email,2026-09-12,closed,88,4925.81,TRUE,FALSE,FALSE,2026-09-12,lost_case
89,971,674,commercial,phone,2018-10-06,closed,89,4344.36,FALSE,FALSE,TRUE,2026-09-12,office_declined
90,72,323,immigration,whatsapp,2021-10-26,closed,90,542.07,TRUE,FALSE,TRUE,2021-10-26,cancelled
91,478,922,labor,email,2026-09-12,rejected,91,4038.38,FALSE,TRUE,FALSE,,in_progress
92,964,145,consultation,email,2023-06-28,closed,92,4519.56,TRUE,TRUE,TRUE,2023-06-28,resolved
93,353,927,real_estate,whatsapp,2017-09-19,closed,93,3282.25,TRUE,FALSE,TRUE,2026-09-12,settled
94,398,940,criminal,email,2017-08-31,closed,94,2904.45,TRUE,TRUE,FALSE,2023-10-31,office_declined
95,476,143,immigration,phone,2021-12-04,closed,95,1045.96,TRUE,FALSE,TRUE,2024-08-07,completed
96,983,845,contract_review,whatsapp,2020-01-15,closed,96,4151.01,FALSE,TRUE,TRUE,2026-09-12,settled
97,32,933,administrative,whatsapp,2026-09-12,closed,97,2853.92,TRUE,FALSE,FALSE,2026-09-12,cancelled
98,426,246,family,phone,2021-02-04,closed,98,275.54,FALSE,TRUE,FALSE,2026-09-12,lost_case
99,454,788,consultation,phone,2023-09-22,closed,99,3767.38,TRUE,TRUE,TRUE,2026-03-29,office_declined
100,21,22,immigration,email,2017-09-23,closed,100,1167.99,TRUE,FALSE,TRUE,2017-09-23,lost_case
101,542,798,family,whatsapp,2025-08-17,closed,101,839.99,TRUE,TRUE,FALSE,2026-09-12,cancelled
102,169,807,real_estate,email,2026-09-12,under_review,102,1443.21,TRUE,TRUE,FALSE,,ongoing
103,551,949,civil,whatsapp,2021-03-03,in_process,103,4660.34,FALSE,FALSE,TRUE,,ongoing
104,763,734,commercial,phone,2025-11-07,closed,104,1511.78,TRUE,TRUE,FALSE,2026-09-12,client_withdrawal
105,745,473,immigration,whatsapp,2026-09-12,pending,105,4401.87,FALSE,TRUE,FALSE,,in_progress
106,554,396,criminal,email,2016-04-11,closed,106,3969.27,FALSE,FALSE,FALSE,2025-03-07,completed
107,704,898,real_estate,email,2017-05-25,delayed,107,3980.07,TRUE,TRUE,TRUE,,ongoing
108,251,372,criminal,whatsapp,2020-10-11,under_review,108,447.06,FALSE,TRUE,FALSE,,in_progress
109,506,515,immigration,phone,2025-09-06,pending,109,329.05,TRUE,TRUE,FALSE,,accepted
110,544,468,family,phone,2022-07-28,closed,110,910.39,TRUE,TRUE,TRUE,2026-09-12,settled
111,153,446,real_estate,email,2026-09-12,closed,111,2346.88,FALSE,FALSE,FALSE,2026-09-12,cancelled
112,746,310,commercial,phone,2020-03-18,in_process,112,1761.47,TRUE,TRUE,FALSE,,accepted
113,519,94,consultation,whatsapp,2021-01-06,closed,113,2888.12,TRUE,FALSE,FALSE,2026-09-12,completed
114,48,254,labor,email,2017-12-10,closed,114,253.36,TRUE,TRUE,TRUE,2017-12-10,completed
115,453,864,real_estate,phone,2016-02-21,closed,115,4472.75,TRUE,FALSE,TRUE,2017-08-01,settled
116,488,375,criminal,whatsapp,2026-09-12,closed,116,3371.94,FALSE,FALSE,TRUE,2026-09-12,lost_case
117,374,285,real_estate,email,2024-11-13,under_review,117,2637.93,TRUE,FALSE,FALSE,,accepted
118,541,419,commercial,phone,2023-02-07,closed,118,828.68,FALSE,TRUE,FALSE,2023-02-07,office_declined
119,794,739,real_estate,phone,2021-02-22,closed,119,1911.73,TRUE,FALSE,FALSE,2021-02-22,cancelled
120,540,887,commercial,phone,2026-09-12,rejected,120,4474.05,FALSE,TRUE,FALSE,,accepted
121,657,911,real_estate,whatsapp,2020-02-23,closed,121,4438.08,TRUE,TRUE,FALSE,2020-02-23,cancelled
122,155,714,consultation,whatsapp,2019-05-29,closed,122,225.4,TRUE,FALSE,FALSE,2024-12-14,cancelled
123,417,792,administrative,whatsapp,2015-02-10,closed,123,3221.58,FALSE,TRUE,FALSE,2026-09-12,office_declined
124,417,792,criminal,phone,2024-02-26,approved,124,3649.73,FALSE,FALSE,FALSE,,ongoing
125,927,414,administrative,phone,2026-09-12,closed,125,3267.98,FALSE,FALSE,FALSE,2026-09-12,office_declined
126,153,23,contract_review,whatsapp,2015-01-01,closed,126,2420.6,FALSE,FALSE,FALSE,2020-06-06,lost_case
127,26,371,consultation,phone,2019-04-19,under_investigation,127,2775.52,FALSE,FALSE,TRUE,,ongoing
128,905,871,civil,phone,2019-03-24,closed,128,999.98,FALSE,FALSE,TRUE,2024-01-25,cancelled
129,82,348,commercial,email,2026-09-12,under_review,129,4107.63,TRUE,FALSE,FALSE,,accepted
130,210,66,real_estate,phone,2019-10-21,in_process,130,3238.29,FALSE,TRUE,FALSE,,in_progress
131,772,85,civil,whatsapp,2026-09-12,closed,131,2696.75,FALSE,TRUE,FALSE,2026-09-12,office_declined
132,582,262,family,email,2021-10-07,delayed,132,820.6,FALSE,TRUE,FALSE,,ongoing
133,647,993,consultation,phone,2019-01-31,rejected,133,1026.56,FALSE,FALSE,TRUE,,in_progress
134,828,410,criminal,email,2025-01-01,closed,134,4184.67,FALSE,TRUE,TRUE,2026-09-12,lost_case
135,909,321,immigration,whatsapp,2018-10-31,closed,135,1499.97,FALSE,TRUE,TRUE,2021-04-09,completed
136,552,492,administrative,whatsapp,2021-02-04,closed,136,1197.8,FALSE,TRUE,FALSE,2023-10-04,cancelled
137,2,614,family,whatsapp,2015-04-19,approved,137,2151.59,FALSE,FALSE,TRUE,,ongoing
138,90,689,criminal,email,2020-02-23,under_review,138,3061.8,TRUE,FALSE,FALSE,,accepted
139,717,600,labor,email,2020-03-13,closed,139,2801.8,TRUE,TRUE,FALSE,2020-03-13,office_declined
140,753,175,commercial,whatsapp,2017-07-02,closed,140,725.06,FALSE,FALSE,FALSE,2017-10-25,completed
141,605,877,civil,phone,2018-10-06,closed,141,1328.41,TRUE,TRUE,FALSE,2023-08-25,resolved
142,846,801,administrative,phone,2026-09-12,closed,142,311.51,TRUE,TRUE,TRUE,2026-09-12,lost_case
143,561,768,contract_review,email,2016-08-23,closed,143,870.46,TRUE,TRUE,FALSE,2017-11-08,lost_case
144,425,907,consultation,whatsapp,2019-07-22,closed,144,2944.38,FALSE,FALSE,FALSE,2019-07-22,client_withdrawal
145,478,922,real_estate,whatsapp,2026-09-12,closed,145,4891.06,FALSE,FALSE,TRUE,2026-09-12,office_declined
146,899,983,consultation,whatsapp,2015-04-21,closed,146,4094.75,TRUE,TRUE,TRUE,2019-02-27,lost_case
147,19,81,family,phone,2026-09-12,closed,147,1434.24,FALSE,TRUE,FALSE,2026-09-12,settled
148,454,30,criminal,whatsapp,2026-09-12,pending,148,250.42,TRUE,TRUE,FALSE,,ongoing
149,161,643,consultation,whatsapp,2016-02-23,approved,149,3249.95,TRUE,TRUE,TRUE,,in_progress
150,19,81,consultation,phone,2018-09-17,closed,150,1300.54,FALSE,TRUE,FALSE,2026-09-12,resolved
151,554,834,criminal,whatsapp,2026-09-12,closed,151,4223.97,FALSE,TRUE,TRUE,2026-09-12,client_withdrawal
152,975,387,criminal,email,2017-05-12,closed,152,2849.68,TRUE,TRUE,TRUE,2017-08-16,lost_case
153,152,548,family,phone,2026-09-12,closed,153,4518.46,TRUE,FALSE,FALSE,2026-09-12,lost_case
154,456,764,civil,email,2026-09-12,closed,154,3911.96,FALSE,TRUE,FALSE,2026-09-12,office_declined
155,804,706,commercial,phone,2026-09-12,closed,155,1067.87,FALSE,FALSE,FALSE,2026-09-12,resolved
156,76,309,immigration,email,2022-10-04,pending,156,3277.78,FALSE,FALSE,TRUE,,in_progress
157,275,97,administrative,email,2026-09-12,closed,157,1484.63,TRUE,FALSE,TRUE,2026-09-12,settled
158,291,194,civil,email,2026-09-12,approved,158,4519.27,TRUE,TRUE,TRUE,,accepted
159,864,536,civil,whatsapp,2026-09-12,closed,159,2758.42,TRUE,FALSE,TRUE,2026-09-12,settled
160,83,534,consultation,email,2022-05-04,closed,160,4431.74,TRUE,TRUE,FALSE,2022-05-04,resolved
161,413,805,criminal,phone,2026-09-12,under_review,161,1608.77,TRUE,TRUE,FALSE,,accepted
162,588,131,administrative,email,2021-08-19,closed,162,1571.27,TRUE,FALSE,TRUE,2021-08-19,office_declined
163,82,771,real_estate,whatsapp,2019-01-30,approved,163,3763.43,TRUE,TRUE,TRUE,,ongoing
164,475,799,civil,phone,2019-03-27,closed,164,3002.53,TRUE,TRUE,TRUE,2026-09-12,cancelled
165,210,66,labor,email,2026-09-12,closed,165,417.58,TRUE,TRUE,TRUE,2026-09-12,client_withdrawal
166,128,671,real_estate,phone,2018-09-25,pending,166,3236.99,TRUE,TRUE,FALSE,,accepted
167,56,260,civil,phone,2018-06-07,closed,167,3654.83,FALSE,FALSE,TRUE,2018-06-07,settled
168,501,607,family,whatsapp,2019-06-29,closed,168,4336.33,TRUE,FALSE,FALSE,2026-09-12,lost_case
169,185,108,civil,email,2026-09-12,under_review,169,1080.8,FALSE,TRUE,TRUE,,in_progress
170,626,14,immigration,whatsapp,2015-02-10,in_process,170,1406.65,FALSE,FALSE,FALSE,,ongoing
171,985,177,commercial,phone,2026-09-12,closed,171,546.8,TRUE,TRUE,FALSE,2026-09-12,resolved
172,741,284,real_estate,whatsapp,2024-01-18,closed,172,1241.55,FALSE,TRUE,TRUE,2024-01-18,office_declined
173,849,221,commercial,email,2026-09-12,closed,173,4872.35,TRUE,TRUE,TRUE,2026-09-12,office_declined
174,731,425,family,phone,2021-03-17,closed,174,1640.07,FALSE,FALSE,FALSE,2022-01-21,office_declined
175,183,308,consultation,email,2018-09-01,approved,175,1376.74,TRUE,TRUE,FALSE,,ongoing
176,941,77,criminal,whatsapp,2024-08-30,closed,176,199.46,TRUE,TRUE,FALSE,2026-09-12,client_withdrawal
177,502,647,civil,whatsapp,2024-08-25,approved,177,4051.22,TRUE,TRUE,FALSE,,accepted
178,899,894,labor,phone,2026-09-12,closed,178,3491.04,TRUE,TRUE,FALSE,2026-09-12,settled
179,254,154,immigration,whatsapp,2026-09-12,closed,179,546.87,TRUE,TRUE,TRUE,2026-09-12,lost_case
180,399,346,real_estate,whatsapp,2024-10-03,closed,180,2987.88,TRUE,FALSE,TRUE,2024-10-03,completed
181,976,995,criminal,phone,2026-09-12,closed,181,4765.61,FALSE,TRUE,TRUE,2026-09-12,completed
182,511,38,civil,whatsapp,2024-08-31,closed,182,1331.45,FALSE,TRUE,TRUE,2024-08-31,lost_case
183,605,786,administrative,phone,2023-08-17,closed,183,1132.74,TRUE,FALSE,FALSE,2026-09-12,resolved
184,534,535,criminal,whatsapp,2023-10-18,pending,184,810.09,TRUE,TRUE,FALSE,,ongoing
185,724,980,consultation,whatsapp,2020-10-24,closed,185,4942.67,TRUE,FALSE,FALSE,2026-07-16,cancelled
186,870,457,labor,phone,2023-04-07,awaiting_response,186,874.81,FALSE,FALSE,FALSE,,ongoing
187,238,347,labor,email,2021-06-06,closed,187,554.28,TRUE,FALSE,FALSE,2022-08-27,cancelled
188,251,831,contract_review,email,2022-11-26,closed,188,395.43,FALSE,TRUE,FALSE,2024-10-05,client_withdrawal
189,241,261,immigration,email,2024-08-28,in_process,189,4361.8,FALSE,FALSE,FALSE,,ongoing
190,139,243,contract_review,phone,2026-09-12,closed,190,3499.14,FALSE,TRUE,FALSE,2026-09-12,client_withdrawal
191,365,307,civil,email,2016-07-08,delayed,191,501.45,FALSE,TRUE,FALSE,,accepted
192,879,892,labor,whatsapp,2022-04-06,closed,192,1705.43,FALSE,TRUE,TRUE,2026-09-12,settled
193,72,323,consultation,whatsapp,2016-01-31,closed,193,4203.34,FALSE,TRUE,FALSE,2020-12-01,completed
194,346,835,consultation,email,2016-02-15,closed,194,3472.83,FALSE,TRUE,TRUE,2026-09-12,lost_case
195,895,601,labor,whatsapp,2024-05-22,pending,195,2449.28,TRUE,FALSE,FALSE,,ongoing
196,501,607,real_estate,whatsapp,2026-09-12,closed,196,1275.62,FALSE,TRUE,FALSE,2026-09-12,settled
197,524,684,family,whatsapp,2026-09-12,closed,197,3200.9,FALSE,TRUE,FALSE,2026-09-12,cancelled
198,816,13,immigration,email,2023-11-07,in_process,198,1338.8,FALSE,TRUE,FALSE,,in_progress
199,486,806,criminal,whatsapp,2023-10-10,under_review,199,2188.4,FALSE,TRUE,FALSE,,accepted
200,40,318,criminal,phone,2022-05-01,under_review,200,4449.96,TRUE,FALSE,FALSE,,in_progress
201,877,928,family,whatsapp,2022-01-06,awaiting_response,201,817.58,FALSE,TRUE,FALSE,,in_progress
202,989,20,criminal,whatsapp,2020-07-08,pending,202,3608.21,TRUE,FALSE,TRUE,,ongoing
203,295,542,contract_review,whatsapp,2024-06-29,in_process,203,547.27,TRUE,FALSE,TRUE,,accepted
204,454,37,criminal,whatsapp,2026-09-12,closed,204,3703.05,TRUE,FALSE,FALSE,2026-09-12,client_withdrawal
205,402,135,consultation,phone,2024-08-03,closed,205,844.66,FALSE,FALSE,FALSE,2024-08-03,settled
206,957,314,labor,email,2025-05-30,approved,206,3318.4,TRUE,FALSE,FALSE,,ongoing
207,153,23,administrative,whatsapp,2026-01-18,pending,207,4280.68,FALSE,FALSE,FALSE,,ongoing
208,235,474,commercial,whatsapp,2025-06-19,closed,208,2310.59,FALSE,TRUE,TRUE,2026-02-17,settled
209,745,473,commercial,whatsapp,2026-09-12,closed,209,2832.64,FALSE,FALSE,TRUE,2026-09-12,settled
210,35,319,civil,whatsapp,2026-03-05,in_process,210,2826.88,TRUE,TRUE,FALSE,,in_progress
211,119,582,immigration,phone,2026-09-12,closed,211,1729.47,TRUE,TRUE,FALSE,2026-09-12,resolved
212,190,424,real_estate,whatsapp,2026-09-12,in_process,212,3809.99,FALSE,FALSE,FALSE,,ongoing
213,983,845,immigration,email,2025-02-03,under_review,213,1518.83,FALSE,TRUE,FALSE,,in_progress
214,218,268,real_estate,whatsapp,2015-11-07,closed,214,621.94,TRUE,FALSE,TRUE,2019-03-24,office_declined
215,399,945,family,email,2026-09-12,in_process,215,486.87,FALSE,TRUE,TRUE,,in_progress
216,668,629,family,email,2024-09-03,in_process,216,2046.54,TRUE,FALSE,FALSE,,in_progress
217,190,843,real_estate,phone,2024-09-03,closed,217,690.9,TRUE,FALSE,FALSE,2024-09-03,settled
218,806,493,immigration,email,2017-01-11,closed,218,349.04,TRUE,TRUE,TRUE,2026-02-19,cancelled
219,32,653,labor,whatsapp,2021-12-09,under_investigation,219,4227.92,TRUE,FALSE,TRUE,,ongoing
220,370,34,real_estate,email,2020-03-07,closed,220,1345.6,TRUE,FALSE,FALSE,2026-09-12,client_withdrawal
221,983,148,immigration,whatsapp,2018-09-23,closed,221,2521.72,TRUE,FALSE,TRUE,2026-09-12,cancelled
222,988,803,civil,whatsapp,2026-09-12,closed,222,730.52,FALSE,TRUE,TRUE,2026-09-12,client_withdrawal
223,152,548,contract_review,phone,2017-09-26,in_process,223,4104.79,FALSE,TRUE,TRUE,,ongoing
224,694,879,contract_review,email,2020-08-17,closed,224,4560.19,TRUE,TRUE,FALSE,2020-08-17,resolved
225,413,575,real_estate,whatsapp,2021-05-18,closed,225,246.26,TRUE,TRUE,FALSE,2022-05-20,resolved
226,161,344,criminal,phone,2017-11-29,closed,226,3108.85,FALSE,FALSE,FALSE,2026-09-12,completed
227,966,961,criminal,whatsapp,2016-07-19,closed,227,3369.94,FALSE,FALSE,FALSE,2017-09-20,office_declined
228,899,894,labor,whatsapp,2026-09-12,closed,228,3498.76,TRUE,FALSE,TRUE,2026-09-12,cancelled
229,665,306,labor,email,2026-09-12,closed,229,902.75,FALSE,FALSE,FALSE,2026-09-12,resolved
230,218,268,civil,whatsapp,2024-11-25,closed,230,207.04,FALSE,FALSE,FALSE,2024-11-25,client_withdrawal
231,228,459,civil,phone,2023-11-16,closed,231,4373.19,TRUE,FALSE,TRUE,2026-09-12,completed
232,966,252,civil,email,2026-08-09,in_process,232,4942.63,FALSE,TRUE,TRUE,,accepted
233,544,710,real_estate,email,2019-01-02,closed,233,946.18,FALSE,TRUE,TRUE,2024-07-02,office_declined
234,927,257,administrative,whatsapp,2026-09-12,pending,234,2794.12,FALSE,TRUE,FALSE,,accepted
235,832,169,immigration,whatsapp,2024-03-08,pending,235,1990.11,FALSE,FALSE,FALSE,,ongoing
236,544,468,civil,whatsapp,2015-02-21,awaiting_response,236,3026.03,FALSE,TRUE,TRUE,,accepted
237,169,141,criminal,whatsapp,2015-07-14,closed,237,2330.41,TRUE,TRUE,TRUE,2022-08-28,settled
238,369,510,family,whatsapp,2026-09-12,closed,238,507.27,TRUE,TRUE,FALSE,2026-09-12,lost_case
239,628,972,family,email,2026-09-12,rejected,239,560.42,TRUE,TRUE,TRUE,,accepted
240,601,157,family,phone,2022-12-30,closed,240,2389.44,FALSE,FALSE,FALSE,2022-12-30,cancelled
241,626,212,consultation,whatsapp,2015-12-14,pending,241,2814.65,FALSE,TRUE,FALSE,,in_progress
242,802,366,real_estate,whatsapp,2024-05-01,closed,242,2638.11,FALSE,FALSE,TRUE,2026-01-30,resolved
243,886,543,administrative,whatsapp,2022-10-12,rejected,243,3571.35,TRUE,FALSE,TRUE,,ongoing
244,780,526,contract_review,email,2026-09-12,closed,244,3787.59,TRUE,TRUE,FALSE,2026-09-12,client_withdrawal
245,796,274,criminal,phone,2026-09-12,closed,245,2003.38,TRUE,TRUE,TRUE,2026-09-12,office_declined
246,365,299,civil,whatsapp,2016-02-15,closed,246,2017.54,TRUE,TRUE,FALSE,2017-02-18,resolved
247,211,61,real_estate,email,2021-01-27,closed,247,4525.25,FALSE,FALSE,FALSE,2021-01-27,completed
248,482,416,administrative,whatsapp,2019-02-17,closed,248,4566.8,FALSE,FALSE,FALSE,2019-02-17,cancelled
249,76,278,criminal,whatsapp,2026-09-12,approved,249,2281.1,FALSE,FALSE,FALSE,,ongoing
250,692,750,administrative,phone,2024-03-16,awaiting_response,250,1828.48,FALSE,FALSE,TRUE,,ongoing
