consultation_id,client_id,inquiry_id,lawyer_id,scheduled_at,held_at,consultation_fee,consultation_invoice_id,paid_status,case_accepted
148,983,38,148,2021-07-12,,171.76,148,completed,
149,499,301,149,2030-05-13,,157.87,149,completed,
150,649,358,150,2021-12-23,,103.03,150,completed,
151,933,911,151,2024-11-22,2024-11-22,154.09,151,processing,FALSE
152,41,567,152,2028-01-22,,129.3,152,completed,
153,573,937,153,2028-03-21,,148.96,153,processing,
154,254,4,154,2030-11-15,,120.66,154,failed,
155,599,599,155,2020-06-08,2020-12-18,119.19,155,completed,TRUE
156,991,300,156,2026-02-21,,145.01,156,processing,
157,601,979,157,2020-03-27,2021-02-24,109.54,157,completed,TRUE
158,524,833,158,2023-07-22,,182.63,158,completed,
159,66,348,159,2021-03-24,2025-03-05,114.93,159,refunded,TRUE
160,179,948,160,2030-10-29,,146.57,160,cancelled,
161,899,500,161,2023-08-02,2023-08-02,164.39,161,completed,FALSE
162,235,897,162,2020-06-13,2022-03-28,173.19,162,pending,FALSE
163,816,844,163,2030-09-04,,129.86,163,completed,
164,415,306,164,2026-02-17,2026-02-17,169.18,164,on_hold,FALSE
165,616,955,165,2027-05-04,,100.78,165,on_hold,
166,780,531,166,2027-07-07,,137.1,166,on_hold,
167,657,961,167,2022-05-16,2022-07-29,158.84,167,completed,FALSE
168,97,899,168,2026-04-23,2026-04-23,162.07,168,on_hold,TRUE
169,832,150,169,2027-12-20,,104.98,169,pending,
170,447,123,170,2023-09-12,2024-07-10,176.68,170,completed,TRUE
171,365,62,171,2030-01-09,,176.24,171,completed,
172,139,375,172,2030-09-29,,108.15,172,cancelled,
173,384,868,173,2029-02-22,,133.85,173,cancelled,
174,776,790,174,2026-04-27,,177.87,174,failed,
175,753,289,175,2022-05-07,2022-05-07,112.1,175,processing,FALSE
176,255,687,176,2022-10-29,2024-05-24,124.03,176,cancelled,FALSE
177,985,130,177,2023-05-29,2026-08-27,166.99,177,cancelled,FALSE
178,992,947,178,2023-12-10,2026-04-16,105.96,178,completed,TRUE
179,890,407,179,2020-11-21,2025-05-25,112.45,179,unpaid,FALSE
180,94,963,180,2023-01-24,,143.07,180,completed,
181,471,254,181,2024-11-30,2024-11-30,137.84,181,completed,FALSE
182,139,375,182,2020-02-21,,104.76,182,refunded,
183,447,319,183,2022-04-15,,155.6,183,completed,
184,102,891,184,2020-06-20,,146.37,184,cancelled,
185,817,622,185,2025-04-22,2025-04-22,135.39,185,cancelled,TRUE
186,966,896,186,2022-01-30,,142.84,186,processing,
187,550,690,187,2026-05-03,2026-05-03,122.29,187,pending,TRUE
188,4,432,188,2030-04-29,,130.24,188,cancelled,
189,124,773,189,2024-01-12,2024-01-12,165.8,189,failed,TRUE
190,554,791,190,2020-09-06,2021-08-03,157.84,190,failed,TRUE
191,707,735,191,2021-03-28,2025-06-02,158.26,191,completed,FALSE
192,567,850,192,2024-07-31,2024-07-31,179.46,192,processing,FALSE
193,664,965,193,2026-07-21,2026-07-21,123.5,193,refunded,FALSE
194,291,419,194,2026-11-28,,102.89,194,processing,
195,300,117,195,2022-06-11,2026-05-28,162.14,195,processing,FALSE
196,889,363,196,2030-11-29,,172.01,196,completed,
197,812,592,197,2025-03-20,2025-03-20,138.05,197,completed,TRUE
198,643,433,198,2020-08-15,,106.18,198,pending,
199,773,341,199,2023-06-20,2023-06-20,164.64,199,completed,TRUE
200,613,780,200,2021-06-05,,176.76,200,completed,
201,597,929,201,2024-07-01,,133.05,201,completed,
202,634,982,202,2022-02-11,2024-10-01,116.23,202,on_hold,TRUE
203,475,767,203,2023-05-22,,122.19,203,completed,
204,875,287,204,2030-09-01,,175.07,204,completed,
205,599,599,205,2029-07-27,,144.97,205,unpaid,
206,399,901,206,2021-06-09,,172.4,206,pending,
207,714,502,207,2030-05-22,,115.88,207,completed,
208,152,554,208,2029-07-26,,148.16,208,completed,
209,459,163,209,2027-07-24,,169.73,209,completed,
210,342,998,210,2022-07-30,,104.3,210,completed,
211,111,584,211,2022-04-30,2025-10-29,110.88,211,refunded,FALSE
212,626,838,212,2023-03-19,2023-03-19,176.68,212,completed,TRUE
213,777,376,213,2030-12-10,,109.87,213,refunded,
214,540,255,214,2028-10-10,,119.79,214,refunded,
215,311,880,215,2026-11-29,,119.43,215,completed,
216,774,495,216,2025-04-04,2025-04-04,181.56,216,refunded,TRUE
217,554,791,217,2024-11-11,,126.39,217,completed,
218,761,489,218,2030-04-26,,139.53,218,completed,
219,889,363,219,2029-11-26,,157.78,219,failed,
220,363,116,220,2028-10-03,,135.43,220,cancelled,
221,849,657,221,2029-10-19,,137.38,221,cancelled,
222,668,477,222,2023-02-27,2024-01-27,178.27,222,failed,TRUE
223,130,100,223,2028-10-12,,108.9,223,failed,
224,178,884,224,2026-11-19,,164.95,224,cancelled,
225,841,218,225,2030-11-15,,142.97,225,on_hold,
226,616,955,226,2024-08-17,2024-08-17,123.75,226,refunded,FALSE
227,897,977,227,2021-10-25,2026-06-09,101.35,227,pending,TRUE
228,471,254,228,2027-08-14,,117.65,228,completed,
229,686,877,229,2029-08-18,,176.82,229,cancelled,
230,121,61,230,2021-01-05,,147.12,230,completed,
231,180,183,231,2026-12-21,,163.24,231,unpaid,
232,885,328,232,2028-12-24,,178.5,232,completed,
233,416,727,233,2030-04-21,,138.51,233,refunded,
234,306,808,234,2028-06-19,,133.35,234,refunded,
235,249,512,235,2028-10-07,,143.59,235,refunded,
236,967,36,236,2027-07-14,,125.94,236,completed,
237,966,612,237,2029-10-18,,159.58,237,cancelled,
238,551,411,238,2023-12-03,2023-12-03,155.64,238,pending,FALSE
239,19,813,239,2025-09-19,2025-09-19,142.04,239,cancelled,TRUE
240,46,707,240,2025-04-22,2025-04-22,125.19,240,completed,TRUE
241,487,650,241,2026-08-22,,141.06,241,pending,
242,398,338,242,2028-02-01,,107.41,242,completed,
243,139,978,243,2026-02-13,2026-02-13,125.33,243,completed,FALSE
244,828,294,244,2024-03-01,,108.9,244,completed,
245,242,191,245,2027-05-17,,113.3,245,on_hold,
246,426,522,246,2029-06-23,,137.31,246,completed,
247,626,360,247,2030-12-14,,101.76,247,completed,
248,554,588,248,2020-01-18,,155.29,248,pending,
249,291,12,249,2026-03-22,2026-03-22,125.11,249,processing,TRUE
250,580,129,250,2022-11-13,,149.21,250,on_hold,
251,679,828,251,2027-01-11,,159.84,251,completed,
252,966,896,252,2027-01-04,,115.15,252,completed,
253,660,932,253,2023-06-11,2026-08-23,167.89,253,on_hold,FALSE
254,48,620,254,2026-07-09,2026-07-09,143.22,254,pending,TRUE
255,957,210,255,2023-06-15,,100.13,255,on_hold,
256,121,416,256,2023-01-02,,167.73,256,processing,
257,927,434,257,2028-04-20,,107.8,257,processing,
258,234,198,258,2028-06-20,,134.99,258,refunded,
259,313,501,259,2030-02-04,,114.02,259,completed,
260,56,956,260,2030-04-19,,136.93,260,cancelled,
261,241,113,261,2027-09-20,,123.08,261,refunded,
262,582,646,262,2027-02-02,,146.59,262,unpaid,
263,305,33,263,2020-06-15,2025-08-25,143.25,263,cancelled,FALSE
264,757,538,264,2020-12-21,,173.44,264,processing,
265,921,166,265,2023-05-26,2023-05-26,126.24,265,cancelled,FALSE
266,342,998,266,2026-11-24,,147.47,266,cancelled,
267,334,229,267,2021-07-04,,132.17,267,processing,
268,218,361,268,2027-11-14,,175.73,268,completed,
269,879,81,269,2023-06-13,,128.86,269,completed,
270,240,551,270,2025-08-09,2025-08-09,165.31,270,completed,FALSE
271,897,977,271,2025-08-23,2025-08-23,161.8,271,refunded,FALSE
272,547,228,272,2028-09-04,,164.07,272,completed,
273,829,784,273,2028-05-26,,100.22,273,completed,
274,796,938,274,2020-03-10,2021-06-06,129.95,274,processing,TRUE
275,340,99,275,2021-06-26,,133.63,275,completed,
276,833,382,276,2022-04-14,2022-04-14,117.87,276,refunded,FALSE
277,885,328,277,2022-07-12,,161.32,277,refunded,
278,76,578,278,2024-04-17,,157.91,278,completed,
279,929,142,279,2021-02-21,2022-10-15,101.75,279,refunded,TRUE
280,139,387,280,2030-10-04,,168.69,280,pending,
281,507,125,281,2027-07-06,,123.31,281,cancelled,
282,437,534,282,2027-04-04,,114.99,282,completed,
283,908,545,283,2028-01-23,,130.8,283,completed,
284,741,636,284,2026-09-23,,127.35,284,on_hold,
285,374,713,285,2025-06-01,2025-06-01,143.48,285,cancelled,FALSE
286,666,109,286,2024-07-25,2026-08-28,136.43,286,pending,FALSE
287,724,668,287,2027-02-14,,148.08,287,pending,
288,129,627,288,2026-03-16,,162.28,288,on_hold,
289,728,753,289,2030-01-01,,128.76,289,pending,
290,42,525,290,2026-04-05,2026-04-05,167.33,290,on_hold,TRUE
291,413,835,291,2021-09-12,2024-04-08,179.8,291,on_hold,FALSE
292,674,9,292,2025-04-28,2025-04-28,156.77,292,processing,FALSE
293,240,551,293,2029-09-03,,138.58,293,on_hold,
294,431,266,294,2025-12-16,2025-12-16,116.54,294,refunded,TRUE
295,800,785,295,2024-06-10,2024-06-10,168.27,295,cancelled,TRUE
296,295,304,296,2026-06-06,,117.25,296,failed,
297,849,232,297,2030-03-14,,102.72,297,completed,
298,31,316,298,2022-07-03,2025-02-08,109.94,298,completed,TRUE
299,365,62,299,2024-04-19,,118.01,299,processing,
300,370,556,300,2023-05-28,,159.45,300,completed,
301,930,547,301,2025-05-10,2025-12-05,182.58,301,completed,TRUE
302,487,747,302,2022-06-11,,121.63,302,completed,
303,911,519,303,2026-04-26,2026-07-24,104.27,303,completed,TRUE
304,221,598,304,2027-12-15,,161.75,304,refunded,
305,66,273,305,2030-03-02,,130.15,305,cancelled,
306,665,875,306,2023-06-11,2025-12-30,148.08,306,pending,FALSE
307,365,139,307,2022-04-24,,143.53,307,cancelled,
308,183,819,308,2022-10-29,,126.29,308,unpaid,
309,76,564,309,2023-03-26,,135.92,309,refunded,
310,746,124,310,2024-12-06,2024-12-06,130.65,310,on_hold,FALSE
311,909,57,311,2021-06-05,2025-02-12,177.82,311,unpaid,FALSE
312,131,174,312,2028-02-24,,153.25,312,failed,
313,155,628,313,2022-12-22,,144.29,313,cancelled,
314,957,681,314,2027-04-02,,167.91,314,failed,
315,92,362,315,2020-05-03,2021-06-20,119.96,315,completed,FALSE
316,832,150,316,2030-03-26,,109.37,316,completed,
317,613,807,317,2024-10-22,,167.68,317,refunded,
318,40,669,318,2029-11-02,,138.33,318,completed,
319,35,607,319,2021-12-18,2022-06-10,134.48,319,completed,FALSE
320,826,544,320,2023-01-20,2023-01-20,146.1,320,completed,FALSE
321,909,57,321,2030-02-21,,109.42,321,on_hold,
322,170,421,322,2021-03-10,2021-03-10,168.17,322,cancelled,TRUE
323,72,653,323,2022-06-11,2025-05-14,145.08,323,completed,FALSE
324,143,418,324,2024-06-24,2024-06-24,150.43,324,completed,FALSE
325,259,840,325,2023-01-14,,125.09,325,cancelled,
326,939,478,326,2029-09-16,,157.5,326,processing,
327,557,325,327,2021-03-29,,153.07,327,on_hold,
328,53,817,328,2027-05-08,,170.32,328,refunded,
329,2,768,329,2021-02-18,2022-12-20,110.43,329,completed,FALSE
330,151,602,330,2023-07-27,,130.56,330,processing,
331,859,484,331,2030-12-23,,129.44,331,cancelled,
332,8,422,332,2030-09-21,,149.49,332,unpaid,
333,627,787,333,2022-08-08,2026-09-09,179.62,333,refunded,TRUE
334,751,460,334,2020-10-05,2024-06-02,174.91,334,completed,TRUE
335,825,799,335,2020-05-13,2021-12-03,115.01,335,unpaid,FALSE
336,185,443,336,2029-06-06,,148.72,336,unpaid,
337,920,801,337,2030-09-01,,119.71,337,on_hold,
338,190,196,338,2023-03-13,2024-07-08,122.43,338,on_hold,FALSE
339,673,879,339,2025-01-21,2026-05-17,111.9,339,failed,TRUE
340,971,462,340,2025-10-01,2026-06-22,103.02,340,processing,FALSE
341,132,310,341,2025-01-18,,171.85,341,pending,
342,605,467,342,2027-11-21,,156.91,342,completed,
343,200,796,343,2026-08-18,2026-08-18,172.82,343,completed,FALSE
344,161,689,344,2028-12-18,,178.5,344,completed,
345,911,233,345,2025-01-02,,183.41,345,pending,
346,399,928,346,2021-11-21,2021-11-21,118.26,346,refunded,TRUE
347,238,794,347,2028-11-05,,119.9,347,unpaid,
348,82,385,348,2028-05-17,,149.51,348,on_hold,
349,685,110,349,2026-06-26,,167.9,349,refunded,
350,859,484,350,2024-08-30,,127.16,350,completed,
351,516,279,351,2024-01-09,,175.1,351,processing,
352,143,379,352,2024-08-31,2025-07-03,178.5,352,completed,FALSE
353,759,465,353,2029-07-30,,112.8,353,processing,
354,665,87,354,2027-06-27,,126.71,354,completed,
355,410,30,355,2026-01-18,,122.95,355,on_hold,
356,799,870,356,2029-10-14,,180.83,356,cancelled,
357,903,885,357,2023-11-27,2023-11-27,181.31,357,completed,FALSE
358,669,894,358,2029-10-05,,132.97,358,on_hold,
359,680,82,359,2030-04-05,,177,359,completed,
360,936,600,360,2029-07-29,,174.53,360,unpaid,
361,679,828,361,2027-10-31,,175.03,361,on_hold,
362,343,102,362,2029-05-28,,132.61,362,pending,
363,35,675,363,2020-06-28,,165.87,363,cancelled,
364,849,657,364,2026-02-27,2026-02-27,176.39,364,refunded,FALSE
365,622,647,365,2022-05-03,2022-05-03,178.08,365,cancelled,TRUE
366,802,16,366,2029-10-10,,112.37,366,completed,
367,698,296,367,2024-12-22,2024-12-22,151.62,367,on_hold,TRUE
368,879,81,368,2026-08-31,2026-08-31,113.58,368,completed,TRUE
369,170,32,369,2022-03-31,2022-03-31,102.76,369,completed,TRUE
370,487,650,370,2027-06-27,,135.85,370,cancelled,
371,26,733,371,2022-11-04,2023-12-20,181,371,cancelled,TRUE
372,251,281,372,2023-03-21,2025-01-11,122.76,372,cancelled,TRUE
373,452,431,373,2023-04-29,,179.83,373,completed,
374,16,18,374,2026-11-23,,159.38,374,refunded,
375,488,204,375,2023-07-05,2023-07-05,115.09,375,refunded,TRUE
376,76,578,376,2024-12-12,2024-12-12,146.54,376,completed,FALSE
377,301,394,377,2030-05-08,,139.75,377,pending,
378,798,140,378,2022-08-06,2023-05-10,165.9,378,on_hold,FALSE
379,363,916,379,2030-05-04,,121.25,379,processing,
380,339,148,380,2028-11-30,,135.58,380,completed,
381,141,76,381,2027-08-21,,183.31,381,completed,
382,11,589,382,2023-03-01,2024-07-07,103.06,382,refunded,TRUE
383,451,284,383,2030-05-25,,171,383,failed,
384,738,35,384,2020-09-16,2026-01-11,131.23,384,unpaid,TRUE
385,565,267,385,2021-11-02,2024-10-29,115.3,385,completed,TRUE
386,363,116,386,2026-03-07,2026-03-07,110.03,386,pending,TRUE
387,975,674,387,2026-05-31,,121.27,387,pending,
388,742,659,388,2021-04-17,2021-04-17,169.95,388,pending,FALSE
389,207,555,389,2027-04-11,,106.15,389,failed,
390,817,622,390,2028-03-21,,123.28,390,failed,
391,567,850,391,2024-12-31,2024-12-31,152.91,391,unpaid,TRUE
392,837,212,392,2027-11-01,,157.32,392,pending,
393,11,589,393,2021-09-20,2022-02-10,128.17,393,unpaid,FALSE
394,547,332,394,2030-12-13,,132.68,394,unpaid,
395,871,726,395,2025-05-24,,143.24,395,completed,
396,554,843,396,2029-05-04,,110.58,396,completed,
397,431,476,397,2022-07-02,2023-11-25,147.5,397,processing,TRUE
398,429,517,398,2023-06-25,2023-06-25,117.04,398,completed,FALSE
399,700,842,399,2030-07-31,,158.96,399,completed,
400,827,741,400,2022-07-11,,173.38,400,unpaid,
401,901,122,401,2025-12-17,2025-12-17,157.4,401,pending,FALSE
402,130,100,402,2024-04-11,2024-04-11,129.17,402,processing,TRUE
403,837,212,403,2021-10-19,2024-07-04,162.28,403,unpaid,TRUE
404,890,407,404,2027-08-27,,159.81,404,completed,
405,557,395,405,2025-12-15,,150.33,405,failed,
406,29,346,406,2027-07-11,,179.31,406,failed,
407,408,582,407,2022-02-15,2025-10-26,119.96,407,refunded,TRUE
408,486,230,408,2021-09-16,,105.02,408,refunded,
409,846,610,409,2023-10-21,2026-08-11,107.42,409,processing,FALSE
410,828,34,410,2027-05-10,,134,410,processing,
411,146,548,411,2027-11-02,,171.13,411,completed,
412,623,383,412,2020-12-31,2025-12-22,138.6,412,processing,FALSE
413,96,181,413,2021-03-12,,165.55,413,refunded,
414,927,962,414,2026-11-26,,170.68,414,refunded,
415,992,13,415,2028-05-27,,162.12,415,pending,
416,482,995,416,2028-05-26,,169.1,416,refunded,
417,983,38,417,2024-01-05,,142.84,417,on_hold,
418,954,931,418,2025-08-02,,105.97,418,processing,
419,541,145,419,2021-03-25,2023-11-08,154.98,419,failed,TRUE
420,28,65,420,2025-04-04,,110.31,420,refunded,
421,170,957,421,2020-11-15,,135.05,421,on_hold,
422,488,204,422,2025-03-21,2025-03-21,164.04,422,completed,TRUE
423,236,342,423,2021-02-02,,105.7,423,cancelled,
424,190,196,424,2021-05-18,2021-05-18,134.95,424,on_hold,TRUE
425,731,866,425,2022-10-12,2022-10-12,103.23,425,completed,FALSE
426,275,574,426,2027-10-25,,116.83,426,completed,
427,111,584,427,2020-10-07,,121.35,427,completed,
428,317,703,428,2028-08-17,,116.75,428,unpaid,
429,825,799,429,2020-02-11,,136.9,429,cancelled,
430,747,236,430,2026-04-28,,110.89,430,completed,
431,249,759,431,2030-06-15,,174.64,431,cancelled,
432,459,163,432,2030-04-01,,122.68,432,completed,
433,926,535,433,2020-09-22,2021-01-09,126.11,433,processing,TRUE
434,154,872,434,2028-11-03,,133.36,434,processing,
435,795,776,435,2020-11-26,2026-06-03,182.04,435,unpaid,FALSE
436,13,493,436,2021-01-20,2021-01-20,131.34,436,refunded,FALSE
437,619,131,437,2020-12-27,2024-10-28,140.46,437,unpaid,TRUE
438,963,491,438,2021-10-10,2024-08-27,167.15,438,unpaid,FALSE
439,370,556,439,2028-10-14,,171.44,439,completed,
440,694,444,440,2027-03-18,,140.85,440,completed,
441,41,567,441,2022-08-22,,160.89,441,completed,
442,119,642,442,2027-12-13,,122.3,442,completed,
443,194,576,443,2030-08-15,,100.9,443,pending,
444,384,638,444,2026-03-05,,182.37,444,completed,
445,288,946,445,2023-06-01,2023-06-01,165.13,445,on_hold,FALSE
446,153,219,446,2025-02-17,,151.94,446,processing,
447,910,14,447,2021-01-22,2021-05-04,131.78,447,processing,TRUE
448,8,798,448,2026-11-19,,140.44,448,pending,
449,755,160,449,2030-07-14,,139.08,449,unpaid,
450,550,690,450,2023-09-17,2026-04-25,133.83,450,failed,TRUE
451,820,252,451,2028-10-01,,151.01,451,processing,
452,365,139,452,2024-10-21,2024-10-21,160.68,452,processing,FALSE
453,824,380,453,2020-09-22,2022-10-25,146.25,453,failed,TRUE
454,869,662,454,2027-05-13,,126.07,454,completed,
455,543,630,455,2027-01-05,,170.46,455,completed,
456,462,959,456,2021-11-03,,118.76,456,processing,
