invoice_id,client_id,matter_id,invoice_status_before,invoice_amount,payment_count,total_received,invoice_excess_total,payment_sequence,payment_id,payment_date,payment_method,payment_reference,original_payment_amount,invoice_allocation_amount,client_credit_amount,reason_code,recommended_action,resolution_status,review_notes
556,513,714,unpaid,3986.13,2,61823.77,57837.64,1,49,2026-05-17,cash,51-916-2699,18231.01,3986.13,14244.88,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
556,513,714,unpaid,3986.13,2,61823.77,57837.64,2,780,2026-05-17,card,75-615-1373,43592.76,0.00,43592.76,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
826,167,995,failed,43693.53,3,100266.51,56572.98,1,641,2019-03-28,bank_transfer,97-881-7945,32634.85,32634.85,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
826,167,995,failed,43693.53,3,100266.51,56572.98,2,937,2019-07-18,paypal,95-075-3944,45070.46,11058.68,34011.78,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
826,167,995,failed,43693.53,3,100266.51,56572.98,3,926,2026-03-25,apple_pay,34-461-6233,22561.20,0.00,22561.20,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
484,443,213,unpaid,15180.42,4,70316.92,55136.50,1,237,2019-08-02,paypal,88-830-5035,4245.96,4245.96,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
484,443,213,unpaid,15180.42,4,70316.92,55136.50,2,861,2019-08-02,paypal,05-991-5495,37861.03,10934.46,26926.57,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
484,443,213,unpaid,15180.42,4,70316.92,55136.50,3,105,2026-07-22,cash,39-780-5263,24346.52,0.00,24346.52,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
484,443,213,unpaid,15180.42,4,70316.92,55136.50,4,718,2026-09-12,venmo,42-873-0174,3863.41,0.00,3863.41,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
549,253,839,paid,911.84,3,54225.11,53313.27,1,406,2020-05-25,venmo,94-774-4607,32422.15,911.84,31510.31,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
549,253,839,paid,911.84,3,54225.11,53313.27,2,180,2022-12-18,paypal,01-045-7382,3555.54,0.00,3555.54,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
549,253,839,paid,911.84,3,54225.11,53313.27,3,177,2026-08-21,online_payment,96-299-2929,18247.42,0.00,18247.42,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
197,959,628,unpaid,40600.26,2,93398.76,52798.50,1,392,2022-11-19,google_wallet,34-078-9805,44845.51,40600.26,4245.25,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
197,959,628,unpaid,40600.26,2,93398.76,52798.50,2,427,2024-06-07,card,52-349-0465,48553.25,0.00,48553.25,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
1,833,478,not_processed,6992.94,3,58629.90,51636.96,1,649,2019-07-20,online_payment,41-477-3416,23894.27,6992.94,16901.33,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
1,833,478,not_processed,6992.94,3,58629.90,51636.96,2,678,2019-07-20,venmo,23-047-4478,30520.34,0.00,30520.34,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
1,833,478,not_processed,6992.94,3,58629.90,51636.96,3,252,2023-08-26,card,46-162-7942,4215.29,0.00,4215.29,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
382,626,594,unpaid,26555.25,2,77607.21,51051.96,1,47,2018-04-22,google_wallet,70-952-8349,36654.45,26555.25,10099.20,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
382,626,594,unpaid,26555.25,2,77607.21,51051.96,2,211,2026-09-12,venmo,55-501-4399,40952.76,0.00,40952.76,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
385,936,979,failed,16849.41,3,62902.87,46053.46,1,567,2021-07-01,bitcoin,52-881-4904,7395.23,7395.23,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
385,936,979,failed,16849.41,3,62902.87,46053.46,2,36,2023-04-08,card,23-697-7094,28882.40,9454.18,19428.22,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
385,936,979,failed,16849.41,3,62902.87,46053.46,3,107,2026-09-12,paypal,25-235-5617,26625.24,0.00,26625.24,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
784,894,976,not_processed,38612.47,3,81813.17,43200.70,1,101,2021-03-09,apple_pay,97-645-4044,5667.49,5667.49,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
784,894,976,not_processed,38612.47,3,81813.17,43200.70,2,479,2021-03-09,paypal,70-466-6134,32623.04,32623.04,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
784,894,976,not_processed,38612.47,3,81813.17,43200.70,3,411,2022-03-05,cash,27-940-5969,43522.64,321.94,43200.70,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
930,790,335,failed,6917.44,2,49637.86,42720.42,1,984,2021-05-18,apple_pay,58-468-6281,46289.15,6917.44,39371.71,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
930,790,335,failed,6917.44,2,49637.86,42720.42,2,969,2026-09-12,card,83-477-2334,3348.71,0.00,3348.71,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
753,185,226,not_processed,4500.33,1,47011.66,42511.33,1,145,2025-09-16,paypal,26-736-7997,47011.66,4500.33,42511.33,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
993,817,59,not_processed,40365.68,3,82815.23,42449.55,1,592,2022-10-09,online_payment,51-267-0442,29577.25,29577.25,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
993,817,59,not_processed,40365.68,3,82815.23,42449.55,2,694,2024-04-27,google_wallet,36-647-7015,11071.83,10788.43,283.40,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
993,817,59,not_processed,40365.68,3,82815.23,42449.55,3,432,2026-05-19,bitcoin,54-863-8860,42166.15,0.00,42166.15,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
383,330,184,failed,61149.34,3,101535.37,40386.03,1,599,2024-12-28,venmo,75-828-2503,30083.23,30083.23,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
383,330,184,failed,61149.34,3,101535.37,40386.03,2,175,2026-09-12,bank_transfer,96-674-2525,48609.00,31066.11,17542.89,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
383,330,184,failed,61149.34,3,101535.37,40386.03,3,779,2026-09-12,venmo,01-698-2321,22843.14,0.00,22843.14,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
81,682,399,unpaid,7834.86,1,47107.58,39272.72,1,971,2026-02-17,venmo,45-069-4506,47107.58,7834.86,39272.72,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
341,651,894,paid,42381.10,2,81271.63,38890.53,1,747,2023-09-26,bank_transfer,98-293-1589,42999.29,42381.10,618.19,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
341,651,894,paid,42381.10,2,81271.63,38890.53,2,936,2023-09-26,bank_transfer,33-711-8467,38272.34,0.00,38272.34,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
914,634,228,paid,10522.03,2,49376.32,38854.29,1,194,2024-08-30,bitcoin,94-708-8133,13956.85,10522.03,3434.82,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
914,634,228,paid,10522.03,2,49376.32,38854.29,2,912,2024-08-30,online_payment,19-711-0558,35419.47,0.00,35419.47,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
642,675,732,unpaid,65001.81,3,102586.67,37584.86,1,506,2021-07-17,paypal,86-363-8616,39875.83,39875.83,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
642,675,732,unpaid,65001.81,3,102586.67,37584.86,2,75,2026-09-12,online_payment,42-091-9356,42368.19,25125.98,17242.21,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
642,675,732,unpaid,65001.81,3,102586.67,37584.86,3,102,2026-09-12,card,37-747-8270,20342.65,0.00,20342.65,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
659,494,301,not_processed,53953.20,3,90093.17,36139.97,1,739,2018-10-01,online_payment,42-545-6497,43683.84,43683.84,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
659,494,301,not_processed,53953.20,3,90093.17,36139.97,2,284,2025-03-18,paypal,85-498-9174,13915.87,10269.36,3646.51,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
659,494,301,not_processed,53953.20,3,90093.17,36139.97,3,136,2026-09-12,card,84-922-6139,32493.46,0.00,32493.46,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
949,754,461,paid,18002.25,2,53210.93,35208.68,1,752,2025-05-15,cash,88-177-3230,33052.98,18002.25,15050.73,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
949,754,461,paid,18002.25,2,53210.93,35208.68,2,53,2025-12-21,paypal,03-630-7736,20157.95,0.00,20157.95,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
292,285,325,not_processed,13669.90,2,47531.67,33861.77,1,681,2020-10-18,bitcoin,26-885-6762,25409.60,13669.90,11739.70,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
292,285,325,not_processed,13669.90,2,47531.67,33861.77,2,458,2026-09-12,card,26-755-5813,22122.07,0.00,22122.07,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
543,206,777,unpaid,28868.25,2,62195.13,33326.88,1,214,2020-10-29,bitcoin,74-370-1875,12282.75,12282.75,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
543,206,777,unpaid,28868.25,2,62195.13,33326.88,2,614,2026-06-21,bitcoin,22-408-2034,49912.38,16585.50,33326.88,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
330,351,374,failed,29893.81,2,62917.39,33023.58,1,643,2024-08-21,online_payment,35-068-7968,24378.22,24378.22,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
330,351,374,failed,29893.81,2,62917.39,33023.58,2,342,2026-09-12,bank_transfer,05-623-9133,38539.17,5515.59,33023.58,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
879,207,166,unpaid,11854.84,1,43518.99,31664.15,1,324,2026-09-12,google_wallet,90-761-0606,43518.99,11854.84,31664.15,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
140,448,575,paid,23585.81,2,54590.17,31004.36,1,435,2024-05-14,cash,12-303-2483,16290.22,16290.22,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
140,448,575,paid,23585.81,2,54590.17,31004.36,2,561,2024-05-14,cash,35-449-3524,38299.95,7295.59,31004.36,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
968,633,895,unpaid,18522.01,1,48397.71,29875.70,1,769,2020-12-31,google_wallet,48-015-3433,48397.71,18522.01,29875.70,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
303,504,842,unpaid,11994.04,2,40789.95,28795.91,1,613,2026-01-27,bank_transfer,63-465-1419,4587.49,4587.49,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
303,504,842,unpaid,11994.04,2,40789.95,28795.91,2,652,2026-01-27,bitcoin,09-863-8694,36202.46,7406.55,28795.91,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
674,352,564,paid,25384.95,2,53396.33,28011.38,1,690,2020-05-19,venmo,43-886-9818,32330.13,25384.95,6945.18,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
674,352,564,paid,25384.95,2,53396.33,28011.38,2,870,2021-10-07,online_payment,13-383-6575,21066.20,0.00,21066.20,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
264,43,372,not_processed,14570.63,2,41841.06,27270.43,1,715,2020-09-26,venmo,30-271-3340,40751.50,14570.63,26180.87,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
264,43,372,not_processed,14570.63,2,41841.06,27270.43,2,383,2021-10-12,cash,03-117-2973,1089.56,0.00,1089.56,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
996,147,820,unpaid,38376.07,3,65487.83,27111.76,1,263,2026-08-11,cash,17-040-2736,9.87,9.87,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
996,147,820,unpaid,38376.07,3,65487.83,27111.76,2,516,2026-08-11,venmo,83-072-9627,15745.37,15745.37,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
996,147,820,unpaid,38376.07,3,65487.83,27111.76,3,667,2026-08-11,google_wallet,00-477-4251,49732.59,22620.83,27111.76,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
218,287,92,paid,38139.42,2,64950.69,26811.27,1,875,2019-12-20,cash,45-543-8477,29032.14,29032.14,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
218,287,92,paid,38139.42,2,64950.69,26811.27,2,803,2026-01-09,venmo,19-557-6554,35918.55,9107.28,26811.27,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
102,100,592,failed,27013.57,2,53615.71,26602.14,1,923,2022-10-30,venmo,42-506-8257,46802.47,27013.57,19788.90,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
102,100,592,failed,27013.57,2,53615.71,26602.14,2,665,2024-09-24,bitcoin,84-854-7476,6813.24,0.00,6813.24,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
907,634,352,paid,23554.69,1,49962.73,26408.04,1,302,2024-02-13,paypal,64-375-8770,49962.73,23554.69,26408.04,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
527,528,192,failed,4003.11,1,30261.27,26258.16,1,960,2025-03-10,card,00-422-1700,30261.27,4003.11,26258.16,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
11,245,378,failed,82055.53,4,107909.85,25854.32,1,52,2020-09-29,google_wallet,47-601-8845,33304.59,33304.59,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
11,245,378,failed,82055.53,4,107909.85,25854.32,2,384,2020-09-29,bitcoin,44-900-4831,32796.26,32796.26,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
11,245,378,failed,82055.53,4,107909.85,25854.32,3,442,2025-06-13,google_wallet,64-470-3454,22626.81,15954.68,6672.13,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
11,245,378,failed,82055.53,4,107909.85,25854.32,4,755,2026-09-12,paypal,69-160-0971,19182.19,0.00,19182.19,invoice_already_fully_allocated,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
658,202,247,paid,15576.91,1,41291.24,25714.33,1,799,2020-07-30,bitcoin,57-390-9800,41291.24,15576.91,25714.33,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
936,898,601,unpaid,9147.18,1,34387.03,25239.85,1,216,2026-09-12,cash,52-350-3029,34387.03,9147.18,25239.85,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
965,258,156,not_processed,22303.89,1,46692.74,24388.85,1,616,2024-10-21,card,76-548-0900,46692.74,22303.89,24388.85,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
702,913,963,unpaid,1896.43,1,23432.96,21536.53,1,848,2026-06-08,cash,85-109-7315,23432.96,1896.43,21536.53,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
46,474,1000,paid,17515.34,1,38375.02,20859.68,1,943,2025-04-18,cash,62-774-4276,38375.02,17515.34,20859.68,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
152,594,534,not_processed,78125.60,3,98083.39,19957.79,1,686,2026-01-20,apple_pay,13-654-4155,3660.51,3660.51,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
152,594,534,not_processed,78125.60,3,98083.39,19957.79,2,190,2026-09-12,online_payment,01-175-9550,47634.44,47634.44,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
152,594,534,not_processed,78125.60,3,98083.39,19957.79,3,277,2026-09-12,google_wallet,41-031-4536,46788.44,26830.65,19957.79,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
857,427,48,paid,23943.14,1,42902.98,18959.84,1,542,2026-09-12,card,43-558-5626,42902.98,23943.14,18959.84,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
463,576,582,not_processed,1424.79,1,20186.24,18761.45,1,112,2018-01-17,bitcoin,07-207-2688,20186.24,1424.79,18761.45,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
558,885,763,failed,22377.00,1,39962.71,17585.71,1,539,2026-09-12,google_wallet,64-461-8128,39962.71,22377.00,17585.71,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
78,699,16,paid,49638.15,2,66748.66,17110.51,1,501,2025-05-08,google_wallet,07-719-4406,34912.53,34912.53,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
78,699,16,paid,49638.15,2,66748.66,17110.51,2,672,2025-05-08,bank_transfer,20-194-7854,31836.13,14725.62,17110.51,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
768,55,699,failed,18691.36,1,35765.75,17074.39,1,850,2025-06-27,card,68-602-9792,35765.75,18691.36,17074.39,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
51,932,493,unpaid,11687.77,1,28689.63,17001.86,1,141,2022-12-11,bitcoin,14-440-3197,28689.63,11687.77,17001.86,payment_exceeds_remaining_balance,allocate_to_invoice_and_create_client_credit,modeled_pending_database_load,
671,122,930,failed,87746.14,4,104526.81,16780.67,1,380,2025-07-05,apple_pay,64-048-6550,3910.60,3910.60,0.00,payment_fully_allocated,allocate_to_invoice,modeled_pending_database_load,
